20,Rodrigo Marín,MEI,20,57,,Ezequiel Mechoso,MEI,21,59,,William Mendieta,MEI,33,74,,Fabián Franco,LD,23,65,,Lorenzo Melgarejo,MEI,31,76,,Gabriel Costa,MEI,31,72,,Marcelo Cañete,MEI,31,74,,Felipe Gutiérrez,MEI,31,75,,Luis Ayala,LEME,28,6666,,Michael Hoyos,MEI,30,72,,Alejandro Cabeza,ATA,24,72,,Javier Maldonado,ZAG,27,6163,,Angelo Baredia,ZAGLD,29,6666,,André Cruz,MEI,21,60,,Carlos Adorno,GOL,20,6075,,,,,0,
21,Camilo Cándido,MEI,26,74,,Ignacio Laquintana,MEI,22,68,,Ramón Sosa,MEI,22,72,,Mateus Gonçalves,MEI,27,72,,Mathías Espinoza,MEI,24,74,,Joan Cruz,MEI,18,62,,Pablo Aránguiz,MEI,24,74,,Marcelino Núñez,MEI,21,74,,Moisés Corozo,ZAG,29,6970,,Gabriel Cortez,MEI,26,74,,Bryan Sánchez,ATA,28,68,,Luis David González,MEI,22,5969,,Alonso Candales,ZAG,21,6565,,Jhon Marchán,MEI,23,68,,César Menacho,MDPD,22,6373,,,,,0,
22,Gonzalo Vega,MEI,29,72,,Denis Olivera,MEI,22,65,,Brian Montenegro,ATA,28,74,,Enzo Giménez,MEI,23,73,,Sebastián Ferreira,ATA,23,75,,Javier Parraguez,ATA,32,72,,Brandon Cortés,MEI,20,65,,Juan Leiva,MEI,28,74,,Ezequiel Piovi,VOLMC,29,7373,,Carlos Garcés,ATA,31,74,,Lass Bangoura,MEI,29,72,,Julio César da Silva,ZAGLE,19,5670,,Salvador Higuerrez,ATA,37,6767,,João Grimaldo,MEI,18,67,,Luis Ángel Flores,MD,19,5976,,,,,0,
23,Andrès D'alessandro,MEI,40,75,,Franco Martínez,MEI,23,69,,Walter González,ATA,26,72,,Luis Fariña,MEI,30,72,,Roque Santa Cruz,ATA,40,75,,Iván Morales,ATA,22,70,,Mario Sandoval,MEI,30,70,,Luciano Aued,MEI,34,75,,Jefferson Troya,MDPD,20,5869,,Gonzalo Mastriani,ATA,28,74,,Joao Rojas,MEI,24,69,,Renné Rivas,LE,18,5674,,,,,,,Diego Soto,MEI,20,65,,Kevin Salvatierra,MC,20,6577,,,,,0,
24,Pablo García,MEI,22,70,,Agustín Álvarez Martínez,ATA,20,74,,Guillermo Paiva,ATA,24,67,,Marcelino Ñamandú,MEI,22,62,,Óscar Cardozo,ATA,38,75,,Luciano Arriagada,ATA,19,62,,Joaquín Larrivey,ATA,37,75,,José Fuenzalida,MEI,36,75,,Franklin Guerra,ZAG,29,7070,,Emmanuel Martínez,MEI,27,74,,Carlos Orejuela,ATA,28,68,,Edgar José Silva,MEI,23,5766,,,,,,,Christofer Gonzáles,MEI,29,74,,Diago Giménez,ZAGVOL,24,6573,,,,,0,
25,Thiago Vecino,ATA,22,72,,Ariel Nahuelpán,ATA,34,72,,Jorge Colmán,MEI,24,62,,Robert Morales,ATA,22,72,,Derlis Rodríguez,MEI,24,65,,Pablo Solari,ATA,20,69,,Ronnie Fernández,MEI,30,72,,Fernando Zampedri,ATA,33,75,,Joseph Espinoza,VOLMC,21,6070,,Adonis Preciado,MEI,24,70,,,,,0,,Jorge Echeverría,MEIMD,21,5768,,,,,,,Marcos Riquelme,MEI,32,74,,José Herrera,VOLMC,18,5874,,,,,0,
,Santiago Ramírez,ATA,20,62,,Rubén Bentancourt,ATA,28,71,,Jorge Recalde,MEI,29,74,,Adrián Martínez,MEI,29,70,,Rodrigo Bogarín,MEI,24,74,,Christian Santos,ATA,33,74,,José Gatica,MEI,20,65,,Diego Valencia,ATA,21,74,,Edilson Cabeza,ZAG,19,5972,,Jonathan Perlaza,MEI,24,68,,,,,0,,Wilbert Hernández,GOL,20,5570,,,,,,,Alejandro Hohberg,MEI,30,74,,Bruno Miranda,MEPEATA,23,6365,,,,,0,
,Axel Pérez,ATA,19,60,,Nicolás García,ATA,21,59,,Néstor Camacho,MEI,34,74,,Federico Carrizo,MEI,30,75,,Antonio Bareiro,MEI,32,74,,Marco Bolados,ATA,25,74,,Felipe Saavedra,MEI,25,70,,Alexander Aravena,ATA,19,62,,Kevin Mercado,MEPEPD,26,6768,,Cristian Penilla,ATA,29,74,,,,,0,,,,,,,,,,,,Cristopher Olivares,MEI,22,68,,Lucas Chávez,MDPD,18,5974,,,,,0,
,Franco Fagúndez,ATA,21,57,,Máximo Alonso,MEI,19,65,,Diego Duarte,MEI,19,62,,Fernando Romero,ATA,21,70,,Héctor Villalba,MEI,27,77,,Ignacio Jara,ATA,24,68,,Nahuel Luján,MEI,26,69,,Gonzalo Tapia,MEI,19,68,,Stalin Valencia,ZAG,18,5974,,,,,0,,,,,0,,,,,,,,,,,,Percy Liza,MEI,21,68,,Eduardo Carlos Martín,ZAG,18,5774,,,,,0,
,Emiliano Villar,MEI,22,68,,Agustín Canobbio,ATA,23,74,,Derlis González,ATA,27,77,,Claudio Aquino,ATA,30,74,,Iván Franco,ATA,21,74,,,,,0,,Júnior Fernándes,ATA,33,75,,Clemente Montes,MEI,20,68,,,,,,,,,,0,,,,,0,,,,,,,,,,,,Pier Saavedra,ATA,29,65,,Miguel Angel Villarroel,MDPD,18,5871,,,,,0,
,Manuel Monzeglio,MEI,20,57,,Sergio Núñez,ATA,21,65,,Fernando Cardozo,ATA,20,67,,Fernando Ovelar,ATA,18,65,,Julio Enciso,ATA,17,70,,,,,0,,Simón Contreras,ATA,19,68,,Fabián Orellana,MEI,35,78,,,,,,,,,,0,,,,,0,,,,,,,,,,,,Írven Avila,ATA,31,74,,,,,,,,,,0,
,Brian Ocampo,MEI,22,74,,Facundo Torres,ATA,21,74,,,,,0,,,,,0,,,,,0,,,,,0,,Franco Lobos,ATA,22,68,,Diego Buonanotte,MEI,33,74,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,0,
,Alfonso Trezza,MEI,22,70,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,Lucas Assadi,ATA,18,62,,Gastón Lezcano,ATA,35,74,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,0,
,Guillermo May,ATA,23,69,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,Gabriel Torres,ATA,33,74,,David Henríquez,ATA,22,68,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,0,
,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,Édson Puch,ATA,35,0,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,0,

