,Agustín Marchesín,GOL,33,8080,,Haris Seferović,ATA,29,7878,,João VirgíniaL,GOL,22,6779,,André Onana,GOL,25,8386,,Ofir Marciano,GOL,32,7070,,Abdellaoui MvogoL,GOL,27,7578,,Vasilios Barkas,GOL,27,6972,,Đorđe Nikolić,GOL,24,6572,,Bernhard Unger,GOL,22,6168,,Julian Faye Lund,GOL,22,6675,,Karl-Johan Johnsson,GOL,31,7373,,Nico Mantl,GOL,21,6978,,Ismael Diawara,GOL,27,6568,,Jon McLaughlin,GOL,34,6969,,Tiago Sá,GOL,26,7277,,Matous Trmal,GOL,23,7181
,Toni Martínez,ATA,24,7682,,Everton,MEMD,25,8083,,Nuno Santos,PEPD,26,7879,,David Neres,PD,24,7983,,Cyriel DessersL,ATA,27,7374,,Maximiliano Romero,ATA,22,7080,,Georgios Giakoumakis,ATA,27,7475,,Sebastiano EspositoL,ATAMEI,19,6885,,Thorsten Schick,MDLDME,31,7272,,Anders Konradsen,MCVOL,31,6666,,Luther Singh,PEPD,24,7275,,Benjamin Šeško,ATA,18,6883,,Søren Rieks,PE,34,6969,,Kemar Roofe,SA,28,7474,,Lucas Piazón,PDMEISA,27,7575,,Rochinha,PE,26,7677
,Jesús Corona,MDLDPD,28,8181,,Lucas Veríssimo,ZAG,26,7984,,Tiago Tomás,ATA,19,7482,,Davy Klaassen,MEIMC,28,7979,,Reiss NelsonL,PD,22,7281,,Lokilo Vertessen,MDATA,20,7283,,Greg Taylor,LEADE,24,7278,,Dan NdoyeL,MDATA,21,6978,,Thierno Ballo,MDMEI,19,6179,,Sander Tangvik,GOL,19,5573,,Kamil Wilczek,ATA,33,7171,,Junior Adamu,ATA,20,6778,,Adi Nalić,MEIPDATA,24,6673,,Fashion Sakala,ATAPE,24,7378,,Abel Ruiz,ATA,21,7382,,Bruno Duarte,ATA,25,6974
,Pepê,MEMD,24,7681,,Adel Taarabt,MCMEI,32,7777,,Jovane Cabral,PEPD,23,7785,,Lourenco Labyad,MEI,28,7575,,Mark Diemers,MCMEIPE,28,7272,,Ritsu Doan,MDMEI,23,7783,,James McCarthy,VOLMC,31,7171,,Sergio López,LD,22,6777,,Jonas Auer,LEADEME,21,6475,,Rasmus Wiedesheim-Paul,ATAPE,22,6372,,Marios Oikonomou,ZAG,29,6869,,Alexander Walke,GOL,38,6868,,Melker Ellborg,GOL,18,5269,,Scott Wright,SA,24,6772,,ChiquinhoL,MEI,26,7477,,Rúben Lameiras,PDPE,26,7374
,Fábio Cardoso,ZAG,27,7578,,Gedson Fernandes,MC,22,7682,,Bruno Tabata,PDPE,24,7581,,Danilo,ATA,22,7078,,João Teixeira,MEIMCPE,28,7272,,Davy Pröpper,MCVOL,30,7575,,Albian Ajeti,ATA,24,6974,,Matías Palacios,MEI,19,6782,,Lion Schuster,VOL,21,6474,,Alexander Tettey,VOL,35,6969,,Pierre Bengtsson,LE,33,6666,,Mamady Diambou,VOL,19,6179,,Malik Abubakari,ATA,21,6372,,Jack Simpson,ZAGLE,24,6876,,David Carmo,ZAG,22,7383,,João FerreiraL,LD,20,6778
,Wendell,LE,28,7575,,Diogo Gonçalves,MDADD,24,7682,,Manuel Ugarte,MCVOL,20,7384,,Mohamed Daramy,PEATAPD,19,6982,,Francesco Antonucci,MEIMC,22,6576,,Armando Obispo,ZAG,22,7280,,Scott Bain,GOL,30,6868,,Liam Millar,MEPE,22,6677,,Lukas Sulzbacher,LDADD,21,6170,,Vebjørn Hoff,MC,25,6973,,Bryan Oviedo,LE,31,6565,,Kilian Ludewig,LDADD,21,6574,,Lasse Nielsen,ZAG,33,6868,,Robby McCrorie,GOL,23,6371,,Rolando,ZAG,36,7171,,André Amaro,ZAG,19,6781
,Cláudio Ramos,GOL,30,7475,,Nemanja RadonjićL,MEMD,25,7578,,Renan Ribeiro,GOL,31,7171,,Jay Gorter,GOL,21,6982,,Naoufal Bannis,ATA,19,6577,,Ryan Thomas,MCMEIVOL,27,7476,,Ismaila Soro,VOL,23,7076,,Afimico Pululu,MEATA,22,6879,,Oliver Strunz,ATASA,21,6171,,Jonathan Augustinsson,LEZAG,25,6671,,Rasmus Højlund,ATA,18,5973,,Maurits Kjaergaard,MEIMC,18,6482,,Romain Gall,PE,26,6464,,Ryan Jack,MCVOL,29,7474,,Francisco Moura,LEMEMC,22,6778,,Nicolas Janvier,MC,23,6675
,Fábio Vieira,MEIMD,21,7286,,Gil Dias,MEADE,25,7578,,Gonçalo Esteves,ADDLD,17,6784,,Kenneth Taylor,MC,19,6882,,Aliou Baldé,PDPE,19,6381,,Vincent Müller,GOL,21,6778,,Boli Bolingoli,LE,26,6870,,Wouter Burger,MCVOL,20,6677,,Leo Greiml,ZAG,20,6679,,Pavle Vagić,VOLMCZAG,21,6375,,Valdemar Lund,ZAG,18,5470,,Bernardo,LEADEZAG,26,7375,,Peter Gwargis,PDPE,21,5972,,Juninho Bacuna,MCVOL,24,7077,,Vitinha,ATA,21,6476,,Joseph Amoah,MC,27,6666
,Nanu,LDMD,27,7273,,Ferro,ZAG,24,7480,,Nazinho,ADELE,18,6680,,Victor Jensen,MEI,21,6678,,Denzel Hall,LDZAG,20,6177,,Richard Ledezma,MEI,21,6781,,Liam Scales,ZAGADE,23,6374,,Joelson Augusto Mendes MangoL,MDME,18,6884,,Richard Strebinger,GOL,28,7274,,,,,,,Hákon Arnar Haraldsson,PEMEI,18,5574,,Maximilian Wöber,ZAG,23,7480,,Sebastian Nanasi,MEIPE,19,6076,,Jermain Defoe,ATA,39,6767,,Lukas Hornicek,GOL,19,6373,,Herculano,ATA,17,6381
,Francisco Conceição,MD,19,7086,,Rodrigo Pinho,ATA,30,7373,,André Paulo,GOL,25,6572,,Sean Klaiber,LD,27,7474,,Thijs Jansen,GOL,20,6074,,Dante Rigo,VOLMC,23,6572,,Adam Montgomery,LEPE,19,6077,,Felix Gebhardt,GOL,19,5266,,Niklas Hedl,GOL,20,5973,,,,,,,Johan Guadagno,GOL,18,5373,,José David Junuzović,MCVOLMEI,34,7676,,Noah Eile,ZAG,19,5270,,Brandon Barker,SA,25,6669,,Rodrigo Gomes,PDPEATA,18,6383,,Hélder Sá,LE,19,6379
,Vitinha,MEIMC,21,7084,,Gonçalo Ramos,ATASA,20,7286,,,,,,,Maarten Stekelenburg,GOL,39,7676,,Devin Remie,GOL,18,5571,,Fodé Fofana,ATA,19,6484,,Liam Shaw,MCVOLZAG,20,6276,,Andrea Padula,LELD,25,5759,,Dalibor Velimirovic,VOLMCZAG,20,6270,,,,,,,Gani Ahmed,VOLMC,33,7676,,Sekou Koita,ATA,22,7382,,Markus Björkqvist,MC,18,5271,,Nnamdi Ofoborh,VOLMCZAG,22,6577,,Bruno Rodrigues,ZAG,20,6275,,Maga,LD,22,6170
,,,,,,Paulo Guilherme Gonçalves Bernardo,MEIMC,19,6883,,,,,,,,,,,,,,,,,Maxime Delanghe,GOL,20,6377,,Christopher Jullien,ZAG,28,7577,,Charlison Djiga,ZAG,19,5575,,Christopher Dibon,ZAG,31,6464,,,,,,,,,,,,Albert Vallci,LDZAGLE,26,7376,,Jonas Knudsen,LEZAG,29,6969,,Stephen Kelly,MC,21,6172,,Guilherme Soares,ZAG,20,6170,,Gui,MC,19,6080
,,,,,,Mile Svilar,GOL,22,6880,,,,,,,,,,,,,,,,,Johan Bakayoko,PD,18,6483,,Karamoko Dembélé,PD,18,6480,,Tician Tushi,ATAMEIMD,20,5671,,,,,,,,,,,,,,,,,Bryan Okoh,ZAG,18,6582,,Ola Toivonen,MEIATA,35,7373,,Filip Helander,ZAG,28,7476,,,,,,,Mikel Agu,VOL,28,6767
,,,,,,,,,,,,,,,,,,,,,,,,,,Eran Hondermarck,ATA,34,7979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denis Will Poha,MC,24,6569
