,Necip Uysal,ZAGVOL,30,6969,,Sinan Gümüş,MDATA,27,7373,,Taylan Antalyalı,VOLMC,26,7378,,Heorhii Sudakov,MEI,18,6080,,Marcus Wendel,MEI,23,78,,Chidera Ejuke,ATA,23,75,,Ayrton Lucas,LE,23,77,,Mohamed Dräger,LDMD,24,6974,,Evgeni Chernov,LE,28,74,,Heorhiy Bushchan,GOL,26,77,,Josip Mišić,MCVOLMEI,26,7274,,Martin Minchev,MDMEATA,19,6576,,Jordan Ikoko,LD,27,74,,Igor Vujačić,ZAG,26,72,,Nikola Vasiljević,GOL,24,72,,Jack Byrne,MEI,24,72,
,Ajdin Hasić,MEIMD,19,6580,,Mbwana Ally SamattaL,ATA,28,7575,,DeAndre Yedlin,ADDLD,27,7374,,Viktor Korniienko,LE,22,7182,,Danil Krugovoy,LE,22,74,,Konstantin Kuchaev,MEI,23,75,,Aleksandr Maksimenko,GOL,23,77,,Lazar Ranđelović,MDMEADD,23,7176,,Kristoffer Olsson,MEI,25,77,,Oleksandr Andriyevsky,MEI,26,74,,Izet Hajrović,MD,29,6868,,Filip Souček,MCVOL,20,6777,,Anton Nedyalkov,LE,27,75,,Filip Holender,ATA,26,72,,Veljko Simić,MEI,26,72,,Miguel Silva,GOL,26,74,
,Gökhan Töre,MDME,29,7373,,Filip Novák,LE,30,7777,,Arda Turan,MEMC,34,7272,,Oleksiy Shevchenko,GOL,29,7072,,Aleksey Sutormin,MEI,27,75,,Baktiyor Zaynutdinov,MEI,23,72,,Ayaz Guliev,MEI,24,75,,Marios Vrousai,MEMDMEI,22,7279,,Egor Sorokin,ZAG,25,75,,Viktor Tsyhankov,MEI,23,80,,Stefan Ristovski,ADDLDMD,29,7676,,Michal Sáček,LDVOLMC,24,7378,,Farias Wanderson,ATA,33,77,,Slobodan Urošević,LE,27,75,,Radovan Pankov,ZAG,25,75,,Kostas Apostolakis,VOL,21,66,
,Georges-Kévin Nkoudou,ME,26,7576,,Mame Thiam,MEMDATA,28,7171,,Ryan Babel,MEATA,34,7676,,Fernando,MEATA,22,7182,,Dmitri Chistyakov,ZAG,27,74,,Igor Diveev,ZAG,21,75,,Alex Král,VOL,22,78,,Tiago Silva,MEIMC,27,7273,,Dmitri Stotskiy,VOL,31,75,,Mohammed Kadiri,ZAG,25,74,,Dino Perić,ZAG,26,7172,,Srđan Plavšić,MEMD,25,7477,,Oliveira Cauly,MEI,25,75,,Takuma Asano,ATA,26,77,,Milan Pavkov,ATA,27,77,,Francis Uzoho,GOL,22,72,
,Cenk TosunL,ATA,29,7474,,Papiss Demba Cissé,ATA,35,7373,,Falcao,ATA,35,7979,,Yevhen Konoplyanka,MEPE,31,7474,,Andrey Mostovoy,ATA,23,74,,Nayair Tiknizyan,MEI,21,72,,Nail Umyarov,VOL,20,75,,Ahmed Hassan,ATA,28,7373,,Daniil Utkin,MEI,21,74,,Volodymyr Shepelyev,MEI,23,77,,Marko Tolić,MEIPEPD,24,7176,,Libor Kozák,ATA,31,7171,,Bernard Tekpetey,MEI,23,75,,Aleksandar Lutovac,ATA,23,74,,Njegoš Petrović,VOL,21,74,,Rafael Santos,ZAG,23,66,
,Utku Yuvakuran,GOL,23,6474,,Oytun Özdoğan,GOL,22,6068,,Okan Kocuk,GOL,25,6773,,Andriy Pyatov,GOL,36,7676,,Daniil Shamkin,MEI,18,65,,Konstantin Maradishvili,MEI,21,74,,Pavel Maslov,VOL,21,74,,Ögmundur Kristinsson,GOL,31,6767,,Evgeni Markov,ATA,26,72,,Oleksandr Tymchyk,LD,24,75,,Danijel Zagorac,GOL,34,6767,,Milan Heča,GOL,30,7373,,Higinio Marín,ATA,27,74,,Aleksandar Šćekić,VOL,29,75,,Aleksa Vukanović,ATA,28,75,,Christos Sielis,ZAG,21,68,
,MonteroL,ZAG,22,6981,,Marcel Tisserand,ZAGLE,28,7476,,Omar Elabdellaoui,LD,29,7676,,Sergiy Bolbat,LDMDADD,27,6667,,,,,0,,Vladislav Torop,GOL,17,59,,Ilya Gaponov,ZAG,23,70,,Ousseynou Ba,ZAG,25,7378,,Maksim Kutovoy,ATA,19,65,,Tudor Baluta,ZAG,22,72,,Marin Leovac,LEME,32,6969,,Dominik Plechatý,ZAGLD,21,6976,,Alex Santana,MEI,25,75,,Svetozar Marković,ZAG,21,74,,Axel Bakayoko,MEI,23,74,,Apostolos Tsilingiris,GOL,20,65,
,Dorukhan Toköz,VOLMC,24,7277,,Diego Perotti,MEPE,32,7878,,Ömer Bayram,MEMCLE,29,7373,,Sergiy Kryvtsov,ZAG,30,7474,,,,,0,,Bruno Fuchs,ZAG,22,74,,Dmitri Markitesov,MEI,20,65,,Giorgios Masouras,MEMD,27,7575,,Shapi Suleymanov,MEI,21,75,,Bohdan Lednev,MEI,23,74,,Luka Ivanušec,MEIMEMD,22,7381,,Michal Trávník,MCVOL,26,7275,,Kristijan Kahlina,GOL,28,72,,Aleksandar Popović,GOL,21,69,,Nikola Krstović,ATA,21,69,,Nikolas Koutsakos,ATA,17,62,
,Emre Bilgin,GOL,17,5876,,Uğur Kaan Yıldız,LD,18,5773,,Kerem Ersunar,GOL,17,5071,,Maksym Malyshev,VOL,28,7071,,,,,0,,Vadim Karpov,ZAG,18,72,,,,,0,,Ilias Karargyris,GOL,18,5774,,Matvey Safonov,GOL,22,77,,Vitaliy Mykolenko,LE,21,79,,Ivan Šaranić,PDMEI,17,6284,,Ondřej Zahustel,LDMD,29,6868,,Olivier Verdon,ZAG,25,74,,Nikola Lakčević,MEI,21,65,,Stefan Hajdin,MEI,27,65,,Andreas Katsantonis,ATA,21,60,
,Bilal Ceylan,LD,17,5874,,Ferdi Kadioglu,MEMEIPD,21,7185,,Fatih Öztürk,GOL,34,6969,,Bogdan Viunnyk,ATA,18,6182,,,,,0,,Ilia Shkurin,ATA,21,70,,,,,0,,Athanasios Androutsos,LDADDMC,23,6975,,Sergey Borodin,ZAG,22,65,,Ahmed Alibekov,VOL,22,68,,Robbie Burton,MCVOLMEI,21,6376,,Matěj Polidar,MELE,21,6876,,Mavis Tchibota,ATA,24,73,,Filip Stevanović,MEI,18,75,,Veljko Nikolić,MEI,21,75,,Stavros Gavriel,MEI,19,62,
,,,,,,Mauricio Lemos,ZAGVOL,25,6973,,Emre Akbaba,MEIMCME,28,7373,,Taison,MEMEI,33,8181,,,,,0,,,,,0,,,,,0,,Konstantinos Tzolakis,GOL,18,6380,,Kaio Pantaleão,ZAG,25,74,,Vladyslav Supriaha,ATA,21,75,,Marijan Čabraja,LEADE,24,6873,,Adam Hložek,ATAMEMD,18,7487,,Ilker Budinov,LE,20,62,,Nikola Čolić,MEI,18,62,,Strahinja Eraković,ZAG,20,62,,Carlos Dias,VOL,21,60,
,,,,,,İrfan Can Kahveci,MCMEI,25,7681,,Oğulcan Çağlayan,MDATAME,25,7173,,Vladyslav Vakula,PEATA,21,6375,,,,,0,,,,,0,,,,,0,,Vassilis Sourlis,MCMEIMD,18,6179,,Sergey Eschenko,GOL,20,60,,Gerson Rodrigues,ATA,25,75,,Petar Stojanović,LDMD,25,7174,,Lukáš Štetina,ZAG,29,7273,,Dominik Yankov,MEI,20,69,,Lazar Pavlović,MEI,19,70,,Željko Gavrić,MEI,20,70,,Giannis Satsias,VOL,18,62,
,,,,,,Harun Tekin,GOL,31,7070,,Bartuğ Elmaz,VOLMC,18,5678,,Taras Stepanenko,VOL,31,7979,,,,,0,,,,,0,,,,,0,,Apostolos Apostolopoulos,LE,18,6075,,Aleksandr Chernikov,VOL,21,68,,Denys Popov,ZAG,22,72,,Stefan Milić,ZAG,20,6573,,Tomáš Wiesner,LDMD,23,6975,,Ivan Yordanov,MEI,20,62,,Perisa Pesukić,LD,23,68,,Miloš Pantović,MEI,18,68,,Dimitrios Priniotaki,GOL,22,58,
,,,,,,Ömer Beyaz,MEIMC,17,5979,,Halil İbrahim DervişoğluL,ATAPE,21,6778,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,Aleks Matsukatov,MEI,22,70,,Ruslan Neshcheret,GOL,19,65,,,,,,,,,,,,Damyan Damyanov,GOL,20,62,,Nikola Štulić,ATA,19,62,,Andrija Radulović,MEI,18,62,,Marios Kokkinoftas,VOL,18,59,
,,,,,,,,,,,Valentine Ozornwafor,ZAG,21,6579,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,Stanislav Agkatsev,GOL,19,65,,Oleksandr Syrota,ZAG,20,67,,,,,,,,,,,,,,,0,,Vanja Vlahović,MEI,17,57,,Marko Ćopić,GOL,17,57,,Facundo Zabala,LE,22,67,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,Leon Sabua,ATA,20,68,,Illya Zabarnyi,ZAG,18,72,,,,,,,,,,,,,,,0,,Dennis Stojković,MEI,18,62,,Marko Lazetić,ATA,17,62,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,Nemanja Jović,ATA,18,67,,,,,67,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,"0,00%",,,,,"0,00%",,,,,,,,,,,,,,,"0,00%",,,,,"0,00%",,,,,"0,00%",,,,,"0,00%",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Besiktas,,,,,Fenerbahce,,,,,Galatasaray,,,,,Shaktar Donetsk,,,,,Zenit,,,,,CSKA,,,,,Spartak Moscou,,,,,Olympiakos,,,,,Krasnodar,,,,,Dinamo Kiev,,,,,Dinamo Zagreb,,,,,Sparta Praga,,,,,Ludogorets,,,,,Partizan,,,,,Estrela Vermelha,,,,,APOEL,,,,
,,,,,,,,,,,,,,,,,,,,,Jogador,Pos,Idade,Overall,Class,Jogador,Pos,Idade,Overall,Class,Jogador,Pos,Idade,Overall,Class,,,,,,Jogador,Pos,Idade,Overall,Class,Jogador,Pos,Idade,Overall,Class,,,,,,,,,,,Jogador,Pos,Idade,Overall,Class,Jogador,Pos,Idade,Overall,Class,Jogador,Pos,Idade,Overall,Class,Jogador,Pos,Idade,Overall,Class
,,,,,,,,,,,,,,,,,,,,,"ZHIRKOV, Yuri","2D(E),MD,M(EC)",37,77,85,"AKINFEEV, Igor",1G,35,80,88,"ESCHENKO, Andrey","8D,MD(D)",37,75,83,,,,,,"BERG, MarcusEmp",16384A(C),34,80,88,"HARMASH, Denys","256M,MA(C)",31,75,83,,,,,,,,,,,"KESERÜ, Claudiu","1024MA,A(DEC)",34,77,85,"STOJKOVIĆ, Vladimir",1G,37,74,82,"MILUNOVIĆ, Nemanja",4D(C),31,74,82,"SAHAR, BenEmp","1024MA(DE),A(DEC)",31,74,82
,,,,,,,,,,,,,,,,,,,,,"DZYUBA, Artem",16384A(C),32,80,88,"NABABKIN, Kirill","2D(DEC),MD(DE)",34,75,83,"MOSES, VictorEmp","128M,MA(DE)",30,80,88,,,,,,"ARI, Ferreira","2048MA,A(C)",35,77,85,"BOYKO, Denys",1G,33,77,85,,,,,,,,,,,"MOTI, Cosmin",4D(C),36,73,81,"SMILJANIĆ, Milan","32MD,M(C)",34,72,80,"BEN, El Fardou","1024MA,A(DEC)",31,72,80,"GARNER, Joe",16384A(C),33,72,80
,,,,,,,,,,,,,,,,,,,,,"LOVREN, Dejan",4D(C),31,81,89,"DZAGOEV, Alan","256M(C),MA(DEC)",30,79,87,"REBROV, Artem",1G,37,75,83,,,,,,"SMOLNIKOV, Igor","2D(DE),MD,M(D)",32,77,85,"SYDORCHUK, Serhiy","32MD,M(C)",29,79,87,,,,,,,,,,,"DYAKOV, Svetoslav","32MD,M(C)",36,76,84,"NATCHO, Bebras","32MD,M,MA(C)",33,78,86,"BORJAN, Milan",1G,33,78,86,"MERKIS, Giorgios","4D,MD(C)",36,74,82
,,,,,,,,,,,,,,,,,,,,,"RAKITSKIY, Yaroslav",4D(C),31,81,89,"RONDÓN, SalomónEmp",16384A(C),31,81,89,"KUTEPOV, Ilya",4D(C),27,77,85,,,,,,"MARTYNOVICH, Aleksandr",4D(C),33,78,86,"VERBIĆ, Benjamin","1024MA(DE),A(DEC)",27,79,87,,,,,,,,,,,"STOYANOV, Vladislav",1G,33,71,79,"OBRADOVIĆ, Ivan","2D,MD,M(E)",32,72,80,"FALCINELLI, DiegoEmp",16384A(C),29,72,80,"NSUE, Emilio","8D,MD,M(D),MA(DC)",31,72,80
,,,,,,,,,,,,,,,,,,,,,"KERZHAKOV, Mikhail",1G,34,74,82,"SCHENNIKOV, Georgi","2D,MD,M(E)",29,77,85,"PROMES, Quincy","1024MA(DEC),A(DE)",29,81,89,,,,,,"IONOV, Aleksey","1024MA(DE),A(DEC)",32,77,85,"KĘDZIORA, Tomasz","4D(DC),MD(D)",26,78,86,,,,,,,,,,,"RENAN, Santos",1G,31,72,80,"MILJKOVIĆ, Aleksandar","4D(DC),MD(D)",31,74,82,"RODIĆ, Milan","2D,MD,M(E)",30,74,82,"NUHIU, Atdhe",16384A(C),31,74,82
,,,,,,,,,,,,,,,,,,,,,"EROKHIN, Aleksandr","256M(C),MA,A(DEC)",31,78,86,"VASIN, Viktor",4D(C),32,75,83,"HENDRIX, Jorrit","4D,MD,M(C)",26,79,87,,,,,,"KAMBOLOV, Ruslan","4D,MD(C)",31,75,83,"KARAVAEV, Oleksandr","2D,MD(DE),M,MA(D)",28,77,85,,,,,,,,,,,"GRIGORE, Dragos","4D,MD(C)",34,75,83,"BREŽANČIĆ, Rajko","2D,MD,M(E)",31,72,80,"SRNIĆ, Slavoljub","1024MA,A(DE)",29,72,80,"EFREM, Giorgos","1024MA,A(DE)",31,70,78
,,,,,,,,,,,,,,,,,,,,,"OZDOEV, Magomed","32MD,M(C)",28,78,86,"FERNANDES, Mário","8D,MD,M(D)",30,81,89,"ZOBNIN, Roman","32MD,M(DC)",27,80,88,,,,,,"GORODOV, Evgeni",1G,35,75,83,"DE PENA, Carlos","1024MA(E),A(EC)",29,75,83,,,,,,,,,,,"TERZIEV, Georgi",4D(DC),29,74,82,"BAHEBECK, Jean-Christophe","1024MA(DE),A(DEC)",27,75,83,"FALCO, Filippo","1024MA,A(DEC)",29,75,83,"VINÍCIUS, Paulo",4D(C),31,74,82
,,,,,,,,,,,,,,,,,,,,,"SANTOS, Douglas","2D(EC),MD(C)",27,79,87,"MAGNÚSSON, Hördur",2D(EC),28,75,83,"PONCE, Ezequiel",16384A(C),24,77,85,,,,,,"CABELLA, Rémy","256M(C),MA(DEC)",31,80,88,"BUYALSKIY, Vitaliy","256M(C),MA(EC)",28,78,86,,,,,,,,,,,"ILIEV, Plamen",1G,29,74,82,"MARKOVIĆ, Lazar","1024MA,A(DEC)",27,77,85,"KATAI, Aleksandar",1024MA(DEC),30,77,85,"KLONARIDIS, Victor","1024MA,A(DEC)",28,71,79
,,,,,,,,,,,,,,,,,,,,,"BARRIOS, Wilmar","32MD,M(C)",27,81,89,"VLAŠIĆ, Nikola","256M(C),MA(DC)",23,81,89,"GIGOT, Samuel",4D(C),27,78,86,,,,,,"PETROV, Sergey","8D,MD(D)",30,78,86,"KOSTEVYCH, Volodymyr","2D,MD,M(E)",28,75,83,,,,,,,,,,,"ANICET, Abel","32MD,M,MA(C)",31,75,83,"JOJIĆ, Miloš","256M(C),MA(DEC)",29,75,83,"SANOGO, Sékou","32MD,M(C)",31,75,83,"NDONGALA, Dieumerci","1024MA,A(DEC)",29,73,81
,,,,,,,,,,,,,,,,,,,,,"AZMOUN, Sardar",16384A(C),26,81,89,"AKHMETOV, Ilzat","32MD,M(C),MA(DEC)",23,75,83,"SOBOLEV, Aleksandr",16384A(C),24,75,83,,,,,,"CLAESSON, Viktor","1024MA,A(DEC)",29,80,88,"CLAYTON, Silveira","1024MA,A(DEC)",25,74,82,,,,,,,,,,,"SOTIRIOU, Pieros",16384A(C),28,77,85,"SOUMAH, Seydouba",1024MA(DEC),29,75,83,"GOBELJIĆ, Marko","2D,MD(DE),M(DEC)",28,75,83,"DE VINCENTI, Tomás","256M(C),MA(DEC)",32,74,82
,,,,,,,,,,,,,,,,,,,,,"DRIUSSI, Sebastián","1024MA,A(DEC)",25,80,88,"POMAZUN, Ilya",1G,24,70,78,"LARSSON, Jordan","1024MA,A(DEC)",23,77,85,,,,,,"RAMÍREZ, Cristian","2D,MD,M(DE)",26,77,85,"BURDA, Mykyta",4D(DC),26,75,83,,,,,,,,,,,"SÁ, Josué",4D(C),28,75,83,"ŽIVKOVIĆ, Marko","8D,MD,M(D)",26,70,78,"POPOVIĆ, Zoran",1G,32,70,78,"ZAHID, Ghayas","256M(C),MA(DEC)",26,75,83
,,,,,,,,,,,,,,,,,,,,,"KARAVAEV, Vyacheslav","8D,MD,M(D)",25,77,85,"BOHINEN, Emil","32MD(C),M(DC)",22,72,80,"SELIKHOV, Aleksandr",1G,27,75,83,,,,,,"VILHENA, Tonny","32MD,M(C)",26,80,88,"SIDCLEY, Pereira","2D,MD,M(E)",27,77,85,,,,,,,,,,,"CICINHO, Gusmão","8D,MD,M(D)",32,76,84,"OSTOJIĆ, Bojan",4D(C),37,74,82,"IVANIĆ, Mirko","32MD,M,MA(C)",27,74,82,"LUNDEMO, Marius","32MD,M(C)",27,72,80
,,,,,,,,,,,,,,,,,,,,,"MALCOM, Filipe","1024MA(DEC),A(DE)",24,81,89,"OBLYAKOV, Ivan","32MD,M(C)",22,77,85,"ROCHA, Pedro","1024MA(DE),A(DEC)",26,78,86,,,,,,"MACIEL, Wanderson","1024MA,A(DE)",26,79,87,"DUELUND, Mikkel",1024MA(DEC),23,75,83,,,,,,,,,,,"MANU, Elvis","1024MA(DE),A(DEC)",27,73,81,"ZDJELAR, Saša","32MD,M(C)",26,77,85,"KANGA, Guélor","256M,MA(C)",30,77,85,"JORGE, Artur",4D(C),26,74,82
,,,,,,,,,,,,,,,,,,,,,"KUZYAEV, Daler","8D(D),MD(DC),M(DEC)",28,79,87,"CHALOV, Fedor",16384A(C),23,79,87,"BAKAEV, Zelimkhan",1024MA(DEC),24,77,85,,,,,,"BABURIN, EgorEmp",1G,27,72,80,"BIESIEDIN, Artem",16384A(C),25,75,83,,,,,,,,,,,"BADJI, Stéphane","8D(D),MD,M(C)",30,75,83,"STEVANOVIĆ, Nemanja",1G,28,72,80,"GAJIĆ, Milan","8D(D),MD,M(DC)",25,72,80,"ANUAR, MohamedEmp",256M(C),26,75,83
,,,,,,,,,,,,,,,,,,,,,"LUNEV, Andrey",1G,29,79,87,"SIGURDSSON, Arnór","1024MA,A(DEC)",21,75,83,"DZHIKIYA, Georgiy",4D(C),27,79,87,,,,,,"GAZINSKIY, Yuri","32MD,M(C)",31,79,87,"SHAPARENKO, Mykola","256M,MA(C)",22,75,83,,,,,,,,,,,"DESPODOV, KirilEmp","1024MA,A(DEC)",24,75,83,"BAGNACK, Macky",4D(C),25,74,82,"DEGENEK, Miloš","4D,MD(C)",26,74,82,"WHEELER, Christos","2D,MD,M(E)",23,69,77
,,,,,,,,,,,,,,,,,,,,,"WENDEL, Marcus","32MD,M,MA(C)",23,78,86,"EJUKE, Chidera","1024MA,A(DEC)",23,75,83,"LUCAS, Ayrton","2D,MD,M(E)",23,77,85,,,,,,"CHERNOV, Evgeni","2D,MD,M(E)",28,74,82,"BUSHCHAN, Heorhiy",1G,26,77,85,,,,,,,,,,,"IKOKO, Jordan","2D(DE),MD,M(D)",27,74,82,"VUJAČIĆ, Igor","4D,MD(C)",26,72,80,"VASILJEVIĆ, Nikola",1G,24,72,80,"BYRNE, Jack","256M(C),MA(DC)",24,72,80
,,,,,,,,,,,,,,,,,,,,,"KRUGOVOY, Danil","2D,MD,M(E)",22,74,82,"KUCHAEV, Konstantin","128M,MA(DEC)",23,75,83,"MAKSIMENKO, Aleksandr",1G,23,77,85,,,,,,"OLSSON, Kristoffer","32MD,M,MA(C)",25,77,85,"ANDRIYEVSKY, Oleksandr","256M,MA(C)",26,74,82,,,,,,,,,,,"NEDYALKOV, Anton","2D,MD,M(E)",27,75,83,"HOLENDER, FilipEmp","1024MA,A(DEC)",26,72,80,"SIMIĆ, Veljko","256M(C),MA(DEC)",26,72,80,"SILVA, Miguel",1G,26,74,82
,,,,,,,,,,,,,,,,,,,,,"SUTORMIN, Aleksey","8D(D),MA(DE)",27,75,83,"ZAYNUTDINOV, Baktiyor","2D,MD,MA(DE),M(DEC)",23,72,80,"GULIEV, Ayaz","32MD,M,MA(C)",24,75,83,,,,,,"SOROKIN, Egor",4D(C),25,75,83,"TSYHANKOV, Viktor","1024MA,A(DE)",23,80,88,,,,,,,,,,,"WANDERSON, Farias","1024MA,A(DEC)",33,77,85,"UROŠEVIĆ, Slobodan","2D,MD,M(E)",27,75,83,"PANKOV, Radovan",4D(DC),25,75,83,"APOSTOLAKIS, Kostas","8D,MD(D),M(DC)",21,66,74
,,,,,,,,,,,,,,,,,,,,,"CHISTYAKOV, DmitriEmp","4D,MD(C)",27,74,82,"DIVEEV, Igor",4D(C),21,75,83,"KRÁL, Alex","4D,MD,M(C)",22,78,86,,,,,,"STOTSKIY, Dmitri","2D,MD,M(DE)",31,75,83,"KADIRI, Mohammed","4D,MD(C)",25,74,82,,,,,,,,,,,"CAULY, Oliveira","1024MA(DEC),A(DE)",25,75,83,"ASANO, Takuma","1024MA,A(DEC)",26,77,85,"PAVKOV, Milan",16384A(C),27,77,85,"UZOHO, Francis",1G,22,72,80
,,,,,,,,,,,,,,,,,,,,,"MOSTOVOY, Andrey","1024MA(DE),A(DEC)",23,74,82,"TIKNIZYAN, Nayair","2D,MD,M,MA(E)",21,72,80,"UMYAROV, Nail","32MD,M(C)",20,75,83,,,,,,"UTKIN, Daniil","32MD,M,MA(C)",21,74,82,"SHEPELYEV, Volodymyr","32MD,M,MA(C)",23,77,85,,,,,,,,,,,"TEKPETEY, BernardEmp","1024MA,A(DE)",23,75,83,"LUTOVAC, Aleksandar","1024MA(DE),A(DEC)",23,74,82,"PETROVIĆ, Njegoš","32MD,M(C)",21,74,82,"SANTOS, RafaelEmp",4D(C),23,66,74
,,,,,,,,,,,,,,,,,,,,,"SHAMKIN, Daniil","256M,MA,A(C)",18,65,73,"MARADISHVILI, Konstantin","8D(D),MD,M,MA(C)",21,74,82,"MASLOV, Pavel","2D(DEC),MD(DE)",21,74,82,,,,,,"MARKOV, Evgeni",16384A(C),26,72,80,"TYMCHYK, Oleksandr","8D,MD(D)",24,75,83,,,,,,,,,,,"MARÍN, Higinio",16384A(C),27,74,82,"ŠĆEKIĆ, Aleksandar","32MD,M(C)",29,75,83,"VUKANOVIĆ, Aleksa","1024MA,A(DEC)",28,75,83,"SIELIS, Christos",4D(DC),21,68,76
,,,,,,,,,,,,,,,,,,,,,,,,,,"TOROP, Vladislav",1G,17,59,67,"GAPONOV, Ilya","4D,MD(C)",23,70,78,,,,,,"KUTOVOY, Maksim","1024MA(DE),A(DEC)",19,65,73,"BALUTA, TudorEmp","4D,MD(C)",22,72,80,,,,,,,,,,,"SANTANA, Alex","32MD,M,MA(C)",25,75,83,"MARKOVIĆ, SvetozarEmp",4D(C),21,74,82,"BAKAYOKO, Axel","8D,MD,M(D),MA(DE)",23,74,82,"TSILINGIRIS, Apostolos",1G,20,65,73
,,,,,,,,,,,,,,,,,,,,,,,,,,"FUCHS, Bruno",4D(C),22,74,82,"MARKITESOV, Dmitri","256M(C),MA(DEC)",20,65,73,,,,,,"SULEYMANOV, Shapi","1024MA,A(DE)",21,75,83,"LEDNEV, Bohdan","1024MA(DEC),A(DE)",23,74,82,,,,,,,,,,,"KAHLINA, KristijanEmp",1G,28,72,80,"POPOVIĆ, Aleksandar",1G,21,69,77,"KRSTOVIĆ, Nikola",16384A(C),21,69,77,"KOUTSAKOS, Nikolas",16384A(C),17,62,70
,,,,,,,,,,,,,,,,,,,,,,,,,,"KARPOV, Vadim",4D(C),18,72,80,,,,,,,,,,,"SAFONOV, Matvey",1G,22,77,85,"MYKOLENKO, Vitaliy","2D(EC),MD(E)",21,79,87,,,,,,,,,,,"VERDON, OlivierEmp",4D(C),25,74,82,"LAKČEVIĆ, Nikola",1024MA(DEC),21,65,73,"HAJDIN, Stefan","2D,MD,M,MA(E)",27,65,73,"KATSANTONIS, Andreas",16384A(C),21,60,68
,,,,,,,,,,,,,,,,,,,,,,,,,,"SHKURIN, Ilia",16384A(C),21,70,78,,,,,,,,,,,"BORODIN, Sergey",4D(C),22,65,73,"ALIBEKOV, Ahmed","32MD,M(C)",22,68,76,,,,,,,,,,,"TCHIBOTA, Mavis","1024MA(DE),A(DEC)",24,73,81,"STEVANOVIĆ, FilipEmp","1024MA(DEC),A(DE)",18,75,83,"NIKOLIĆ, Veljko","256M(C),MA(DEC)",21,75,83,"GAVRIEL, Stavros","256M(C),MA(DEC)",19,62,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PANTALEÃO, Kaio","4D,MD(C)",25,74,82,"SUPRIAHA, Vladyslav",16384A(C),21,75,83,,,,,,,,,,,"BUDINOV, Ilker","2D,MD,M(E)",20,62,70,"ČOLIĆ, Nikola","256M(C),MA(DEC)",18,62,70,"ERAKOVIĆ, Strahinja","4D(DC),MD(C)",20,62,70,"DIAS, Carlos","32MD,M(C)",21,60,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ESCHENKO, Sergey",1G,20,60,68,"RODRIGUES, Gerson","1024MA(DE),A(DEC)",25,75,83,,,,,,,,,,,"YANKOV, Dominik","256M(C),MA(DEC)",20,69,77,"PAVLOVIĆ, Lazar","256M,MA(C)",19,70,78,"GAVRIĆ, Željko",1024MA(DEC),20,70,78,"SATSIAS, Giannis","32MD,M(C)",18,62,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CHERNIKOV, Aleksandr","32MD,M(C)",21,68,76,"POPOV, Denys",4D(C),22,72,80,,,,,,,,,,,"YORDANOV, Ivan","256M,MA(C)",20,62,70,"PESUKIĆ, Perisa","8D,MD,M(D)",23,68,76,"PANTOVIĆ, Miloš","1024MA,A(DE)",18,68,76,"PRINIOTAKI, Dimitrios",1G,22,58,66
