,Kevin Lencina,ME,20,6070,,Junior Stanislas,PEMEPD,32,7272,,Whevertton Pop,ATA,19,57,,Egea Alê,MEI,31,70,,Guilherme Dellatorre,ATA,29,74,,,,,,,,,,0,,,,,0,,,,,,,Percy Tau,ATA,27,76,,,,,0,,Noah Sadaoui,ATA,29,68,,Daniel Cataño,MEI,30,72,,Michel Luan,ATA,33,71,,,,,,,,,,,,
,,,,,,Morgan Rogers,PEPD,19,6684,,Mateus Brun,ATA,18,57,,Wellington Paulista,ATA,37,75,,Leandro Barcia,ATA,29,74,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,Darren Smith,ATA,25,66,,Raziel García,MEI,28,66,,,,,0,,,,,,,,,,,,
,,,,,,Robbie Brady,PDPEMD,30,7171,,Rocha Rikelme,MEI,18,59,,Bardella Rodolfo,ATA,29,72,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,Juan Caicedo,ATA,32,75,,,,,0,,,,,,,,,,,,
,,,,,,Leif DavisL,LEZAGPD,22,6575,,Marinho Rodriguinho,MEI,33,78,,Henrique Almeida,ATA,30,72,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,Michael Rangel,ATA,30,74,,,,,0,,,,,,,,,,,,
,,,,,,James Hill,ZAG,20,6477,,Cardoso Éverton,MEI,33,76,,Léo Passos,ATA,22,65,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,Juan Pablo Nieto,MEI,29,74,,,,,0,,,,,,,,,,,,
,,,,,,Jake Scrimshaw,ATA,21,6070,,Felipe Marques,MEI,32,68,,Lopes Pedrinho,MEI,22,70,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,Andrés Ibargüen,MEI,29,75,,,,,0,,,,,,,,,,,,
,,,,,,David Brooks,PDMD,24,7682,,Mendes Raulzinho,MEI,21,58,,Carlos Alberto,MEI,19,64,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,Yohandry Orozco,MEI,30,74,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,Ferreira Valdívia,MEI,27,75,,Cardoso Matheusinho,MEI,24,72,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,Luis Miranda,ATA,24,72,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,Osman Júnior,MEI,29,74,,Yan Sasse,MEI,24,70,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,Ánderson Plata,ATA,31,74,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,Vinicius Marquinhos,MEI,25,72,,Marcelo Toscano,ATA,36,72,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,Gustavo Ramírez,ATA,31,70,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,Batista Alesson,MEI,23,67,,Silva Everaldo,ATA,27,75,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,André Luis,ATA,24,72,,Orlando Berrío,ATA,31,74,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,0,,Felipe Azevedo,ATA,35,74,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://pt-br.soccerwiki.org/squad.php?clubid=2416,,,,,https://pt-br.soccerwiki.org/squad.php?clubid=1614,,,,,https://pt-br.soccerwiki.org/squad.php?clubid=1581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Cuiabá,,,,,América-MG,,,,,Atlético-GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jogador,Pos,Idade,Overall,Class,Jogador,Pos,Idade,Overall,Class,Jogador,Pos,Idade,Overall,Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Capeloza Walter,GK,34,75,83,Marcelino Jaílson,GK,40,74,82,Luan Polli,GK,28,74,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,João Carlos,GK,33,74,82,Matheus Cavichioli,GK,35,70,78,Santos Renan,GK,32,72,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Matheus Nogueira,GK,24,62,70,Moraes Airton,GK,27,69,77,Oliveira Ronaldo,GK,25,70,78,,,,,,https://pt-br.soccerwiki.org/squad.php?clubid=627,,,,,https://pt-br.soccerwiki.org/squad.php?clubid=1610,,,,,,,,,,https://pt-br.soccerwiki.org/squad.php?clubid=522,,,,,https://pt-br.soccerwiki.org/squad.php?clubid=521,,,,,https://pt-br.soccerwiki.org/squad.php?clubid=573,https://pt-br.soccerwiki.org/squad.php?clubid=571,,,,https://pt-br.soccerwiki.org/squad.php?clubid=917,,,,,https://pt-br.soccerwiki.org/squad.php?clubid=1232,,,,,,,,,,,,,,,
,,,,,,,,,,,Melo Vinicius,GK,22,62,70,Santos Jori,GK,25,68,76,Siqueira Leonardo,GK,25,57,65,,,,,,Al Jazira,,,,,Al Duhail,,,,,,,,,,Al Ahly,,,,,Zamalek,,,,,Raja Casablanca,,,,,Tolima,,,,,Portuguesa,,,,,,,,,,,,,,,
,,,,,,,,,,,Ribeiro Paulão,D(C),36,75,83,Germán Conti,D(C),27,77,"8500,00%",Pereira Wanderson,D(C),31,74,82,,,,,,Jogador,Pos,Idade,Overall,Class,Jogador,Pos,Idade,Overall,Class,,,,,,Jogador,Pos,Idade,Overall,Class,Jogador,Pos,Idade,Overall,Class,Jogador,Pos,Idade,Overall,Class,Jogador,Pos,Idade,Overall,Class,Jogador,Pos,Idade,Overall,Class,,,,,,,,,,,
,,,,,,,,,,,Gonçalves Marllon,D(C),29,72,80,Iago Maidana,D(C),26,75,83,Alves Danilo,D(C),20,59,67,,,,,,Marcelo Grohe,GK,35,77,85,Saoud Mubarak,GK,30,68,76,,,,,,Mohamed el Shenawy,GK,33,75,83,Mohamed Abou Gabal,GK,33,75,83,Anas Zniti,GK,33,74,82,Alexander Domínguez,GK,34,75,83,Vicente Paes,GK,39,70,78,,,,,,,,,,,
,,,,,,,,,,,Anderson Conceição,D(C),32,72,80,Ricardo Silva,D(C),29,69,77,Custódio Michel,D(C),21,57,65,,,,,,Rakan al Najjar,GK,26,57,65,Toby Alderweireld,D(C),33,83,91,,,,,,Ali Lotfi,GK,32,69,77,Mohamed Awad,GK,29,68,76,Marouane Hadhoudi,D(C),30,72,80,William Cuesta,GK,29,67,75,Júnior Dida,GK,33,67,75,,,,,,,,,,,
,,,,,,,,,,,Alan Empereur,D(EC),27,74,82,Zé Vitor,D(C),21,65,73,Menezes Ramon,"D,MD(C)",26,74,82,,,,,,Ahmed Hegazy,D(C),31,77,85,Mohamed Musa,D(DC),35,67,75,,,,,,Mohamed Abdelmonem,D(C),23,74,82,Mahmoud Alaa,D(C),31,75,83,Ilias Haddad,"D,MD(C)",33,70,78,José Moya,D(C),29,74,82,Flávio Boaventura,D(C),34,74,82,,,,,,,,,,,
,,,,,,,,,,,Igor Carius,"D,MD,M(E)",28,70,78,Luiz Flávio,MD(C),21,65,73,Éder Ferreira,"D,MD(C)",26,74,82,,,,,,Abdulmohsen Fallatah,D(C),27,57,65,Ahmad Yasser,"D,MD(C)",27,70,78,,,,,,Yasser Ibrahim,D(C),29,71,79,Mohamed Abdelghani,D(C),28,70,78,Badr Boulahroud,"MD,M(C)",28,70,78,Julián Quiñónes,D(C),32,74,82,Oliveira Naldo,"D,MD(C)",31,72,80,,,,,,,,,,,
,,,,,,,,,,,Silva Athirson,"D,MD,M(E)",19,57,65,João Paulo,"D,MD,M(E)",35,74,82,Junio Jefferson,"D,MD,M(E)",25,74,82,,,,,,Omar Hawsawi,D(DC),36,71,79,Khalid Muftah,"D,MD,M(E)",29,70,78,,,,,,Ayman Ashraf,D(EC),30,75,83,Mahmoud Hamdy,D(DC),26,74,82,Zakaria el Wardi,"MD,M,MA(C)",23,68,76,Sérgio Mosquera,D(C),28,74,82,Gouvea Vinícius,"D(DC),MD(C)",32,68,76,,,,,,,,,,,
,,,,,,,,,,,Uillian Correia,"MD,M(C)",32,74,82,Matheus Marlon,"D,MD,M(E)",28,65,73,Barbosa Rickson,"MD,M(C)",24,65,73,,,,,,Mohammed al Oufi,"D,MD(E)",19,57,65,Luiz Ceará,"D,MD,M(E)",33,67,75,,,,,,Rami Rabia,"D,MD(C)",28,75,83,Ahmed Fatouh,"D,MD,M(E)",23,74,82,Mohsine Moutaouali,MA(DC),36,70,78,Anderson Angulo,D(C),25,72,80,Dênis Neves,"D,MD,M(E)",31,70,78,,,,,,,,,,,
,,,,,,,,,,,Marcão Silva,"MD,M(C)",31,72,80,Lucas Luan,"D,MD,M(E)",22,62,70,Felipe Édson,"D(D),MD,M(C)",30,75,83,,,,,,Ziyad al Sahafi,"D,MD(C)",27,72,80,Ferjani Sassi,"MD,M(C)",29,76,84,,,,,,Badr Benoun,"D,MD(C)",28,74,82,Mohamed Abdelshafi,"D,MD,M(E)",36,70,78,Youness Mokhtar,"MA,A(DE)",30,74,82,Eduar Caicedo,D(C),26,70,78,Bruno Maia,"D,MD,M(E)",33,68,76,,,,,,,,,,,
,,,,,,,,,,,Rafael Gava,"MD,M(C)",28,70,78,Mendonça Gustavo,M(C),20,65,73,Carvalho Ramon,"D,MD,M(EC)",24,68,76,,,,,,Muhannad al Shanqeeti,"D,MD(DE)",22,70,78,Karim Boudiaf,"D,MD,M(C)",31,67,75,,,,,,Mahmoud Metwaly,"D,MD(C)",29,71,79,Tarek Hamed,"MD,M(C)",33,74,82,Beni Badibanga,"MA,A(DE)",26,72,80,Jeison Angulo,"D,MD,M(E)",25,74,82,Colares Julinho,"D,MD,M(E)",34,65,73,,,,,,,,,,,
,,,,,,,,,,,Gabriel Pierini,"MD,M(C)",21,65,73,Zé Ricardo,"MD,M(C)",25,72,80,Luis Dudu,"D,MD,M(D)",24,74,82,,,,,,Bruno Henrique,"MD,M(C)",32,78,86,Ismaeel Mohammed,M(DEC),31,68,76,,,,,,Karim Fouad,"D,MD(DE)",22,64,72,Mohamed Ashraf Roqa,"MD,M(C)",26,68,76,Hamid Ahadad,"MA(DE),A(DEC)",27,70,78,Leyvin Balanta,"D,MD,M(E)",31,73,81,Gonçalves Graxa,M(C),28,68,76,,,,,,,,,,,
,,,,,,,,,,,Melo Alexandre,"D(E),MD,M(EC)",23,65,73,Ferreira Éder,"MD,M(C)",36,70,78,Arthur Henrique,"D,MD,M,MA(E)",27,69,77,,,,,,Awadh al Nashiri,"MD,M(C)",29,57,65,Edmílson Junior,"M,MA(DE)",27,77,85,,,,,,Ali Maâloul,"D,MD,M(E)",32,76,84,Hamza Mathlouthi,"D,MD,M(D)",29,71,79,,,,,,Fabian Mosquera,M(C),27,69,77,João Pedro,"D,MD,M(C)",22,62,70,,,,,,,,,,,
,,,,,,,,,,,João Lucas,"D,MD,M(D)",23,68,76,Lucas Kal,"D,MD,M(C)",25,70,78,Marlon Freitas,"MD,M,MA(C)",26,75,83,,,,,,Khaled al Samiri,"MD,M(C)",25,57,65,Michael Olunga,A(C),27,74,82,,,,,,Mahmoud Wahid,"D,MD,M(E)",27,68,76,Ahmed Eid,"D,MD,M(D)",21,65,73,,,,,,Juan Ríos,"MD,M(C)",30,74,82,Fabrício Bigode,"D(D),MD,M(C)",23,68,76,,,,,,,,,,,
,,,,,,,,,,,Gonçalves Uendel,"D,MD,MA(E),M(EC)",33,75,83,Adilson Juninho,"D(D),MD,M(C)",34,74,82,Gabriel Baralhas,"MD,M,MA(C)",23,68,76,,,,,,Madallah al Olayan,"D,MD,M(D)",27,70,78,Mohammed Muntari,A(C),28,67,75,,,,,,Amr el Solia,"MD,M(C)",31,75,83,Hazem Emam,"D,MD,M,MA(D)",33,72,80,,,,,,Guillermo Celis,"MD,M(C)",28,73,81,Caio Martins,"D(D),MD,M(DC)",29,59,67,,,,,,,,,,,
,,,,,,,,,,,João Pepê,"M,MA(C)",24,70,78,Patric Lalau,"D,MD,M(D)",32,75,83,Wellington Rato,MA(EC),29,68,76,,,,,,Abdulaziz al Jebreen,"MD(C),M(DC)",31,70,78,Murad Naji,"D,MD,M,MA,A(D)",30,68,76,,,,,,Aliou Dieng,"MD,M(C)",24,74,82,Mohammad Ounnajem,MA(DE),30,72,80,Jogador,Pos,Idade,Overall,Class,William Parra,"MD,M(C)",27,72,80,Brayan Lucumí,M(DEC),28,68,76,,,,,,,,,,,
,,,,,,,,,,,Camilo Reijers,"M,MA(C)",23,70,78,Raúl Cáceres,"D,MD,M(D)",30,74,82,Léo Pereira,MA(DE),21,70,78,,,,,,Abdulaziz al Bishi,"M,MA(E)",27,70,78,Tae-Hee Nam,"MA(DEC),A(DE)",30,75,83,,,,,,Akram Tawfik,"MD,M(C)",24,70,78,Youssef Obama,MA(DEC),26,73,81,Ayoub Lakred,GK,26,70,78,Rodrigo Ureña,"MD,M(C)",29,70,78,Gerley Souza,"D,MD,M,MA(E)",31,66,74,,,,,,,,,,,
,,,,,,,,,,,Kelvin Osorio,"M(C),MA(DEC)",28,74,82,Diego Ferreira,"D,MD,M(D)",26,69,77,Xavier Jorginho,"D,MD(D),M,MA(DC)",31,74,82,,,,,,Hamdan al Shamrani,"D(EC),MD,M,MA(E)",25,72,80,Ali Afif,A(DEC),34,72,80,,,,,,Hamdi Fathi,"D,MD,M(C)",27,74,82,Mahmoud Shikabala,MA(DEC),36,67,75,Thierry Manzi,D(C),25,57,65,Cristian Trujillo,"MD,M(C)",23,69,77,Luis Ricardo,"D,MD,M,MA(D)",38,66,74,,,,,,,,,,,
,,,,,,,,,,,Souza André,A(C),31,75,83,Carlos Eduardo,"D,MD,M(DE)",35,74,82,Cardozo Shaylon,"M(C),MA(DEC)",24,72,80,,,,,,Ahmed Bahusayn,"M,MA(C)",21,57,65,Almoez Ali,"MA(DE),A(DEC)",25,74,82,,,,,,Mohamed Hany,"D,MD,M(D)",25,75,83,Abdallah Gomaa,"D,MD,M(E),MA(DEC)",26,71,79,Anouar Tarkhatt,D(DC),24,65,73,Juan Angulo,"D,MD,M(D)",33,74,82,Lima Maxwell,MA(DEC),22,62,70,,,,,,,,,,,
,,,,,,,,,,,Brandão Élton,A(C),36,74,82,Juninho Valoura,"MD,M,MA(C)",35,75,83,Brian Montenegro,A(C),28,74,82,,,,,,André André,"MD,M,MA(C)",32,78,86,,,,,,,,,,,Mohamed Magdy,"M,MA(C)",25,74,82,Ahmed Zizo,"M(C),MA(DEC)",26,75,83,Emmanuel Imanishimwe,"D,MD(E)",27,65,73,Jonathan Marulanda,"D,MD,M(D)",26,72,80,Roger Gaúcho,"M(C),MA(DEC)",35,70,78,,,,,,,,,,,
,,,,,,,,,,,Brito Jenison,A(C),30,70,78,Juan Pablo Ramírez,"M(C),MA(DEC)",24,72,80,Luis Phelipe,"MA(DEC),A(DE)",21,64,72,,,,,,Igor Coronado,"M(C),MA(DEC)",29,75,83,,,,,,,,,,,Taher Mohamed,"M(C),MA(EC)",24,68,76,Emam Ashour,"M(C),MA(DEC)",24,72,80,Diney Borges,"D,MD(C)",27,70,78,Léider Riascos,"D,MD,M(D)",21,67,75,Wilmar Jordán,A(C),31,70,78,,,,,,,,,,,
,,,,,,,,,,,Whevertton Pop,A(C),19,57,65,Egea Alê,"M(C),MA(DEC)",31,70,78,Guilherme Dellatorre,"MA(DE),A(DEC)",29,74,82,,,,,,Abderrazak Hamdallah,"MA,A(DC)",31,75,83,,,,,,,,,,,Luís Miquissone,MA(DC),26,68,76,Omar el Said,A(C),31,69,77,Brahim Sabaouni,"MD,M(C)",27,67,75,Junior Hernández,"D,MD,M,MA(E)",22,68,76,Silva Maikinho,A(C),29,67,75,,,,,,,,,,,
,,,,,,,,,,,Mateus Brun,A(C),18,57,65,Wellington Paulista,A(C),37,75,83,Leandro Barcia,"MA,A(DEC)",29,74,82,,,,,,Haroune Camara,A(DEC),24,72,80,,,,,,,,,,,Walid Soliman,MA(DEC),37,74,82,Seifeddine Jaziri,"MA,A(D)",29,69,77,Mohamed Chibi,"D,MD,M(D)",29,70,78,Juan José Rubiano,MA(C),20,59,67,Pinto Tito,A(C),33,65,73,,,,,,,,,,,
,,,,,,,,,,,Rocha Rikelme,"MA,A(C)",18,59,67,Bardella Rodolfo,A(C),29,72,80,,,,,,,,,,,Silva Romarinho,"MA(DE),A(DEC)",31,77,85,,,,,,,,,,,Hussein el Shahat,"D,MD,M(D),MA(DEC)",29,75,83,Razack Cissé,"MA,A(DE)",23,70,78,Mounir el Allouchi,"M(C),MA(DEC)",27,72,80,Brayan Rovira,"M,MA(C)",25,74,82,Caio Mancha,A(C),29,65,73,,,,,,,,,,,
,,,,,,,,,,,Marinho Rodriguinho,"M,MA,A(C)",33,78,86,Henrique Almeida,A(C),30,72,80,,,,,,,,,,,Fahad al Muwallad,"MA,A(DEC)",27,74,82,,,,,,,,,,,Mohamed Sherif,"MA(DE),A(DEC)",26,73,81,Achraf Bencharki,"MA,A(DEC)",27,75,83,Reda Slim,"MA,A(DE)",22,70,78,Álvaro Meléndez,"M,MA(DE)",25,70,78,Lúcio Flávio,A(DEC),35,66,74,,,,,,,,,,,
,,,,,,,,,,,Cardoso Éverton,"MA,A(DE)",33,76,84,Léo Passos,A(C),22,65,73,,,,,,,,,,,Abdulrahman al Obud,"MA,A(DEC)",26,70,78,,,,,,,,,,,Salah Mohsen,"MA(DE),A(DEC)",23,72,80,,,,,,Adam Ennaffati,"MA(DE),A(DEC)",27,68,76,Jeison Lucumi,MA(DEC),26,74,82,Anderson Lessa,"MA(C),A(DEC)",32,70,78,,,,,,,,,,,
,,,,,,,,,,,Felipe Marques,"MA,A(DE)",32,68,76,Lopes Pedrinho,"MA,A(DE)",22,70,78,,,,,,,,,,,,,,,,,,,,,,,,,,Percy Tau,"MA,A(DEC)",27,76,84,,,,,,Noah Sadaoui,"MA(DE),A(DEC)",29,68,76,Daniel Cataño,MA(DEC),30,72,80,Michel Luan,"MA(DE),A(DEC)",33,71,79,,,,,,,,,,,
,,,,,,,,,,,Mendes Raulzinho,"MA,A(DE)",21,58,66,Carlos Alberto,"MA,A(DE)",19,64,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darren Smith,"MA(DE),A(DEC)",25,66,74,Raziel García,"M(C),MA(DEC)",28,66,74,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ferreira Valdívia,"MA(DEC),A(DE)",27,75,83,Cardoso Matheusinho,"MA(DEC),A(DE)",24,72,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juan Caicedo,A(C),32,75,83,,,,,,,,,,,,,,,,
,,,,,,,,,,,Osman Júnior,"MA(DEC),A(DE)",29,74,82,Yan Sasse,"MA(DEC),A(DE)",24,70,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Rangel,A(C),30,74,82,,,,,,,,,,,,,,,,
,,,,,,,,,,,Vinicius Marquinhos,"MA(DEC),A(DE)",25,72,80,Marcelo Toscano,A(DEC),36,72,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juan Pablo Nieto,"M,MA,A(C)",29,74,82,,,,,,,,,,,,,,,,
,,,,,,,,,,,Batista Alesson,"MA(DEC),A(DE)",23,67,75,Silva Everaldo,"MA(DE),A(DEC)",27,75,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrés Ibargüen,"MA,A(DE)",29,75,83,,,,,,,,,,,,,,,,
,,,,,,,,,,,André Luis,"MA(DE),A(DEC)",24,72,80,Orlando Berrío,"MA(DE),A(DEC)",31,74,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yohandry Orozco,"MA(DEC),A(DE)",30,74,82,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Felipe Azevedo,"MA,A(DEC)",35,74,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luis Miranda,"MA(DE),A(DEC)",24,72,80,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ánderson Plata,"MA,A(DEC)",31,74,82,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gustavo Ramírez,"MA,A(DEC)",31,70,78,,,,,,,,,,,,,,,,
