,Juan Familia-Castillo,LEMC,21,6676,,Tayo Edun,LEMC,23,6674,,Erik Pieters,LEME,33,7474,,Shane Duffy,ZAG,29,7474,,Ryan Allsop,GOL,29,6868,,Denis Odoi,LDZAG,33,7070,,Alfie Jones,ZAGVOL,24,6574,,Lee Peltier,ZAGLD,35,6868,,Dimitris Giannoulis,LEADE,26,7477,,Loïc Mbe Soh,ZAG,20,6676,,Moses Odubajo,ADDLDADE,28,6969,,Rafael,GOL,31,6969,,Rhys Norrington-Davies,LEADE,22,6876,,Leo ØstigårdL,ZAG,22,7080,,Steven Benda,GOL,23,6572,,Ozan TufanL,MCVOLMEI,26,7679,
,Neil Etheridge,GOL,31,7171,,Aynsley Pears,GOL,23,6574,,Wayne Hennessey,GOL,34,7474,,Kjell Scherpen,GOL,21,6981,,Jack Stretton,ATA,20,6072,,Paulo Gazzaniga,GOL,29,7676,,Matt Ingram,GOL,28,6771,,Joe Lumley,GOL,26,6771,,Angus Gunn,GOL,25,7276,,Ethan Horvath,GOL,26,7174,,Jordan Archer,GOL,28,6668,,George Pușcaș,ATA,25,6771,,Jake Eastwood,GOL,25,6167,,Jack Bonham,GOL,28,6567,,Michael Obafemi,ATA,21,6879,,Ken Sema,MEPEADE,28,7373,
,Lukas Jutkiewicz,ATA,32,6969,,Daniel Butterworth,ATAMEIPE,22,6475,,Jack Cork,VOLMC,32,7575,,Aaron Connolly,ATA,21,7077,,Liam Thompson,MCVOL,19,6175,,Josh Onomah,MCMEI,24,6976,,Tyler Smith,ATA,23,6170,,Uche Ikpeazu,ATA,26,6668,,Kieran Dowell,MEIME,24,7176,,Joe Lolley,PDPEMEI,29,7070,,Andre GrayL,ATA,30,7272,,Femi Azeez,MDATA,20,6477,,David McGoldrick,ATA,34,7272,,Tyrese Campbell,ATAMD,21,7082,,Liam Cullen,ATA,22,6474,,Juraj KuckaL,MCVOL,34,7777,
,Gary Gardner,MC,29,6969,,Reda Khadra,PDPEMEI,20,6377,,Nathan Collins,ZAGLD,20,7182,,Alexis Mac Allister,MEIMC,22,7582,,Krystian Bielik,VOLZAG,23,7280,,Tom Cairney,MEIMC,30,7575,,Matt Smith,VOL,22,6777,,James Léa SilikiL,MCME,25,7176,,Ozan KabakL,ZAG,21,7584,,Lyle Taylor,ATA,31,6969,,Charlie Austin,ATA,32,7171,,Mendez-Laing Méïté,ATAMD,25,7276,,Oli McBurnie,ATA,25,7175,,Sam Surridge,ATA,23,6775,,Rhys WilliamsL,ZAG,20,6581,,Juan Camilo Hernández,ATAMDME,22,7581,
,Maxime Colin,ADDLD,30,7373,,Bradley Dack,MEIMC,27,7374,,Connor Roberts,LDADD,26,7578,,Enock Mwepu,MCVOLMEI,23,7581,,Colin Kazim-Richards,ATA,35,6868,,Ivan Cavaleiro,MEPEATA,28,7373,,Lewie Coyle,LDMD,26,6871,,Sammy Ameobi,MDME,29,7171,,Andrew Omobamidele,ZAG,19,6781,,Rodrigo Ely,ZAG,28,7474,,Sam McCallumL,ADELE,21,7080,,Lucas João,ATA,28,7373,,Robin Olsen,GOL,31,7575,,Harry Souttar,ZAG,23,7279,,Morgan Whittaker,PDATA,20,6175,,Oghenekaro EteboL,MCVOL,26,7275,
,Tahith ChongL,MEMEIMD,22,7080,,Ian PovedaL,PDMD,21,6980,,Aaron Lennon,MDME,34,7373,,Taylor Richards,MEIMC,21,6678,,Louie Sibley,MEIMD,20,6879,,Alfie Mawson,ZAG,27,7072,,Joshua Emmanuel,LDMD,24,6773,,Grant Hall,ZAG,30,6969,,Todd Cantwell,ME,23,7582,,João Carvalho,MEI,24,7076,,Sam Field,MCVOL,23,6775,,Andy Rinomhota,VOLMCMD,24,7176,,George Baldock,LDADD,28,7272,,Nick Powell,MEIMC,27,7374,,Quaner Dhanda,MEIMC,23,6774,,Christian Kabasele,ZAG,30,7575,
,Iván Sánchez,MDMEMC,29,7272,,Jacob Davenport,VOLMC,22,6676,,Lewis Richardson,ATA,18,6176,,Dan Burn,ZAGLE,29,7575,,Louie Watson,MEIME,20,6274,,Domingos QuinaL,MEIMCME,22,7181,,Randell Williams,MD,24,6672,,Darnell Fisher,ADDLD,27,7172,,Adam Idah,ATA,20,6779,,Max LoweL,ADELE,24,7279,,Osman Kakay,ADDLDZAG,24,6772,,Michael Morrison,ZAG,33,7171,,Jack Robinson,ZAGLE,28,7273,,Josef Bursik,GOL,21,6879,,Brandon Cooper,ZAG,21,6273,,Francisco Sierralta,ZAG,24,7278,
,Chuks Aneke,ATA,28,6767,,Leighton ClarksonL,MCMEIVOL,20,6378,,Phil Bardsley,LD,36,7171,,Jason Steele,GOL,31,6565,,Isaac Hutchinson,MCMEIMD,21,6270,,Anthony Knockaert,MDPD,30,7171,,Tom Eaves,ATA,30,6565,,Marcus Browne,MEMD,24,6773,,Jacob Sørensen,LEMCVOL,23,7076,,Xande Silva,PDPE,24,6671,,George Thomas,MEIMD,24,6369,,Tom McIntyre,ZAGLEVOL,23,6876,,Luke Freeman,MEMEI,29,7070,,Morgan Fox,ADELEZAG,28,6969,,Liam Walsh,MCVOL,24,6976,,Ashley Fletcher,ATA,26,6972,
,Marcel Oakley,ADDLD,19,5672,,Joe Rankin-Costello,LDLE,22,6676,,Kevin Long,ZAG,31,7171,,James Furlong,ADELE,19,5675,,David Marshall,GOL,36,6969,,Terence Kongolo,ZAGLE,27,7073,,Brandon Fleming,LEME,22,6269,,Neil Taylor,ADELE,32,6969,,Sam Byram,LELD,28,7373,,Mohamed Dräger,ADDLD,25,6974,,Stephen Duke-McKenna,MDMEMEI,21,5972,,Jahmari Clarke,ATAME,18,5875,,Jack O'Connell,ZAG,27,7578,,Alfie Doughty,ADELE,21,6676,,Daniel Williams,MCVOL,20,5771,,Kwadwo Baah,MEMD,18,6080,
,Mitchell Roberts,ZAG,21,5669,,Hayden Carter,ZAGLD,22,6573,,Dale Stephens,VOLMC,32,7373,,Haydon Roberts,ZAG,19,5875,,Kornell McDonald,LDADD,20,5868,,Michael Hector,ZAG,29,7172,,Harvey Cartwright,GOL,19,5671,,Dejan Stojanović,GOL,28,6768,,Christoph Abdelkahar,ZAG,28,7171,,Braian Ojeda,MCVOL,21,6880,,Charlie Owens,MCMEI,24,6167,,Mamadi Camará,MEIMDME,17,5773,,Oliver Burke,ATAMD,24,6772,,Tom Ince,MDPDATA,29,6868,,Tivonge Rushesha,ADDLD,19,5674,,Rob Elliot,GOL,35,6868,
,Connal Trueman,GOL,25,6569,,Tyler Magloire,ZAGLD,22,6169,,Bobby Thomas,ZAG,20,6176,,Andrew Moran,MEI,18,5879,,Dylan Williams,LEADE,18,6076,,Tyrese Francois,MC,21,6174,,Will Jarvis,ATA,19,5368,,Nathan Wood,ZAG,19,6280,,Bali Mumba,LDMC,20,6578,,Jordan Smith,GOL,27,6769,,Dillon Barnes,GOL,25,6167,,Felipe Araruna,LDVOL,25,6669,,Lys Mousset,ATA,25,7074,,Tashan Oakley-Boothe,MCMEIVOL,21,6376,,Lewis Webb,GOL,20,5470,,Dan Gosling,MC,31,7171,
,Nico Gordon,ZAGLD,19,5871,,Antonis Stergiakis,GOL,22,6474,,Will Norris,GOL,28,6567,,Jürgen Locadia,ATAPEME,28,7070,,Jordan Brown,VOLZAGLD,20,5668,,Fabricio,GOL,33,7373,,Josh Hinds,ATA,18,5368,,Josh Coburn,ATA,19,5773,,Przemysław Płacheta,ME,23,6977,,Tyrese Fornah,VOLMC,22,6473,,Joe Walsh,GOL,19,5572,,Coniah Boyce-Clarke,GOL,18,5981,,Michael Verrips,GOL,25,6975,,Adam Porter,MC,19,5061,,Lincoln McFayden,ADELE,19,5263,,Ryan Cassidy,ATA,20,6069,
,Keyendrah Simmonds,ATAMEMD,20,5671,,Connor McBride,ATAPE,20,6174,,Anthony Glennon,LE,22,6270,,C.Dima Emmerson,SAATA,17,5574,,Eiran Cashin,ZAG,20,5668,,Steven Sessegnon,LDLE,21,6678,,Tom Nixon,LDMD,19,5369,,Bradley James,GOL,22,5466,,Michael McGovern,GOL,37,6666,,Jordi Osei-TutuL,ADDMDLD,23,6675,,Odysseus Alfa,PEATA,22,5667,,Tyrell Ashcroft,LDADD,17,5671,,Rhian Brewster,ATA,21,6980,,Lewis Macari,ZAGLD,19,5166,,Nico Defreitas-Hansen,GOL,20,5467,,Maurizio Pochettino,MD,20,5672,
,Adan George,ATA,19,5270,,Daniel Pike,LDLE,19,6277,,Max Thompson,ATAMD,19,6072,,Tudor Băluță,VOLMC,22,7182,,Osazee Aghatise,MEIMD,19,5572,,Cyrus Christie,LDADD,29,7171,,Olly Green,MC,18,5267,,Connor Malley,MEIMC,21,5366,,Rocky Bushiri,ZAG,22,6574,,Jayden Richardson,ADDLD,21,6174,,Joe Gubbins,ZAG,20,5368,,Ethan Bristow,LEADEME,20,6074,,Regan Slater,MCVOL,22,6171,,D'Margio Wright-Phillips,MD,20,5469,,Jamie Searle,GOL,21,5164,,Henry Wise,MC,21,5969,
,Caolán Boyd-Munce,MCADE,21,5666,,Jake Garrett,VOLMC,18,6178,,Anthony Gomez Mancini,MCMEI,20,6072,,Jeremy Sarmiento,MDME,19,6377,,,,,,,Jay Stansfield,ATA,19,6281,,,,,,,Solomon Brynn,GOL,21,5367,,Flynn Clarke,MEI,19,5773,,Fin Back,ADDLD,19,5774,,Charlie Kelman,ATA,20,6177,,Nelson Abbey,ZAGLE,18,5776,,Kyron Gordon,ZAG,19,5471,,Kieran Coates,ADDLD,20,5673,,Scott Butler,ZAG,18,5470,,Djibril Fandje Touré,ATA,19,6080,
,Kyle Hurst,MEADE,19,5367,,Lenni Rae Cirino,LE,18,5876,,Jacob Bedeau,ZAG,21,5970,,Ulrick Eneme-Ella,MEIMC,20,5969,,,,,,,,,,,,,,,,,,,,,,Shae Hutchinson,ATA,21,5670,,Carl Jenkinson,ADDLD,29,6767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Robert Harker,ATA,21,5869,,Adžić Bissouma,VOLMC,25,7984,,,,,,,,,,,,,,,,,,,,,,Tom Dickson-Peters,ATA,19,5770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Mark Helm,MEIMC,20,5871,,,,,,,,,,,,,,,,,,,,,,,,,,,Liam Gibbs,MC,19,5573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jon McCracken,GOL,21,5466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
