club,name,position,age,overall,nationality,image
Granada,Meseguer,VOL MC,23,70,Spain,/258/769/23_60.png
Granada,N. Petrović,VOL MC,22,70,Serbia,/266/820/23_60.png
Granada,André Ferreira,GOL,26,70,Portugal,/244/020/23_60.png
Granada,Raúl Fernández,GOL,34,69,Spain,/186/680/23_60.png
Granada,Ignasi Miquel,ZAG,29,69,Spain,/196/935/23_60.png
Granada,Miguel Rubio,ZAG,24,68,Spain,/243/431/23_60.png
Granada,M. Arezo,ATA MEI,19,68,Uruguay,/254/653/23_60.png
Granada,Ricard,LD MD,22,67,Spain,/255/781/23_60.png
Granada,Torrente,ZAG VOL,20,67,Spain,/264/103/23_60.png
Granada,Butzke,ATA MD,23,67,Spain,/265/748/23_60.png
Granada,Antoñín,ATA ME,22,67,Spain,/253/735/23_60.png
Granada,Isma Ruiz,VOL MC,21,65,Spain,/259/582/23_60.png
Granada,Julio Martínez,ATA MEI,21,65,Spain,/255/860/23_60.png
Granada,Pepe Sánchez,ZAG LD,22,64,Spain,/254/787/23_60.png
Granada,Ángel Jiménez,GOL,20,63,Spain,/259/580/23_60.png
Granada,Adri López,GOL,23,63,Spain,/241/013/23_60.png
Granada,Echu,ME MEI,24,63,Spain,/244/647/23_60.png
Granada,Bryan,ME MD MEI,20,63,Spain,/271/916/23_60.png
Ibiza,P. Diop,VOL MC,36,73,Senegal,/178/250/23_60.png
Ibiza,G. Escobar,LE LE,25,72,Argentina,/234/100/23_60.png
Ibiza,Nolito,ME ATA,35,72,Spain,/199/561/23_60.png
Ibiza,Sergio Castel,ATA,27,70,Spain,/253/455/23_60.png
Ibiza,Zé Carlos,LD,23,70,Portugal,/258/786/23_60.png
Ibiza,Coke,LD ZAG,35,69,Spain,/172/316/23_60.png
Ibiza,Gálvez,ZAG VOL,33,68,Spain,/199/487/23_60.png
Ibiza,Cristian Herrera,MD ME ATA,31,67,Spain,/204/280/23_60.png
Ibiza,Juan Ibiza,ZAG,26,66,Spain,/245/159/23_60.png
Ibiza,Germán Parreño,GOL,29,66,Spain,/212/453/23_60.png
Ibiza,Daniel Fuzato,GOL,24,66,Brazil,/244/363/23_60.png
Ibiza,Martín,ZAG VOL,22,66,Spain,/244/919/23_60.png
Ibiza,Fran Grima,LD MD,35,65,Spain,/198/839/23_60.png
Ibiza,David Goldar,ZAG,27,65,Spain,/222/407/23_60.png
Ibiza,Ekain,ATA MEI MC,28,64,Spain,/262/303/23_60.png
Ibiza,K. Appin,MC VOL MEI,24,64,France,/239/451/23_60.png
Ibiza,Javi Vázquez,LE ME,21,64,Spain,/240/904/23_60.png
Ibiza,Miki Villar,MD LD,25,64,Spain,/262/726/23_60.png
Ibiza,Iván Morante,MC VOL,21,63,Spain,/255/468/23_60.png
Ibiza,M. Azeez,MC VOL,19,63,England,/253/452/23_60.png
Ibiza,Suleiman Camara,MD ME,21,62,Spain,/265/731/23_60.png
Ibiza,A. Shashoua,MC VOL MEI,21,62,England,/245/904/23_60.png
Ibiza,Chanza,GOL,24,62,Spain,/262/305/23_60.png
Ibiza,César,VOL,21,61,Spain,/264/128/23_60.png
Las Palmas,Jonathan Viera,MEI MC ME,32,80,Spain,/198/164/23_60.png
Las Palmas,Sidnei,ZAG,32,77,Brazil,/182/002/23_60.png
Las Palmas,Eric Curbelo,ZAG LD,28,75,Spain,/237/442/23_60.png
Las Palmas,Moleiro,ME MC MEI,18,74,Spain,/264/388/23_60.png
Las Palmas,Sandro,ATA,26,74,Spain,/217/731/23_60.png
Las Palmas,Sergi Cardona,LE ME,22,72,Spain,/262/402/23_60.png
Las Palmas,E. Loiodice,VOL MC,21,72,France,/243/478/23_60.png
Las Palmas,Álvaro Lemos,LD MD,29,70,Spain,/205/551/23_60.png
Las Palmas,Álvaro Valles,GOL,24,70,Spain,/246/657/23_60.png
Las Palmas,Benito,LE ME MD,26,70,Spain,/235/515/23_60.png
Las Palmas,Kirian,MC VOL MEI,26,70,Spain,/251/011/23_60.png
Las Palmas,Pejiño,MD ME,25,69,Spain,/242/489/23_60.png
Las Palmas,Marc Cardona,ATA,26,69,Spain,/236/393/23_60.png
Las Palmas,Álex Domínguez,GOL,23,68,Spain,/243/201/23_60.png
Las Palmas,O. Mfulu,VOL MC,28,68,Democratic Republic Congo,/221/556/23_60.png
Las Palmas,Alex Suárez,ZAG LD,29,68,Spain,/251/337/23_60.png
Las Palmas,F. Andone,ATA,29,68,Romania,/225/018/23_60.png
Las Palmas,Fabio González,VOL MC,25,68,Spain,/240/942/23_60.png
Las Palmas,Óscar Pinchi,ATA ME MD,26,68,Spain,/229/865/23_60.png
Las Palmas,Saúl Coco,ZAG,23,67,Equatorial Guinea,/265/650/23_60.png
Las Palmas,Óscar Clemente,ME MD MC,23,67,Spain,/255/258/23_60.png
Las Palmas,Enrique Clemente,ZAG LE,23,66,Spain,/244/394/23_60.png
Las Palmas,Joel del Pino,ME LE,24,65,Spain,/271/672/23_60.png
Las Palmas,Moha Ramos,GOL,22,64,Spain,/241/532/23_60.png
Las Palmas,Álex Pachón,ATA,21,62,Spain,/246/760/23_60.png
Las Palmas,Diego Guti,VOL MC,21,62,Spain,/262/320/23_60.png
Las Palmas,Borja Llarena,ATA PD PE,23,61,Spain,/242/071/23_60.png
Las Palmas,Ale García,MD ME MEI,19,60,Spain,/272/430/23_60.png
Girona FC,Oriol Romeu,VOL MC,30,78,Spain,/199/576/23_60.png
Girona FC,David López,ZAG VOL,32,78,Spain,/201/505/23_60.png
Girona FC,C. Stuani,ATA,35,77,Uruguay,/186/537/23_60.png
Girona FC,V. Castellanos,ATA,23,77,Argentina,/237/712/23_60.png
Girona FC,Aleix García,MC VOL,25,76,Spain,/228/813/23_60.png
Girona FC,Toni Villa,ME MD,27,74,Spain,/229/517/23_60.png
Girona FC,Arnau Martínez,LD LD ZAG,19,74,Spain,/260/815/23_60.png
Girona FC,Samu Sáiz,ATA ME,31,74,Spain,/198/143/23_60.png
Girona FC,Borja García,MC ME,31,74,Spain,/194/761/23_60.png
Girona FC,B. Espinosa,ZAG,32,73,Colombia,/186/521/23_60.png
Girona FC,Juan Carlos,GOL,34,73,Spain,/194/730/23_60.png
Girona FC,S. Bueno,ZAG,23,73,Uruguay,/237/658/23_60.png
Girona FC,Manu Vallejo,ATA ME MEI,25,73,Spain,/241/686/23_60.png
Girona FC,Juanpe,ZAG,31,71,Spain,/192/715/23_60.png
Girona FC,Valery,MD LE ME,22,71,Spain,/246/351/23_60.png
Girona FC,Miguel Gutiérrez,LE LE,20,71,Spain,/261/865/23_60.png
Girona FC,Javi Hernández,LE ZAG,24,69,Spain,/244/523/23_60.png
Girona FC,Terrats,VOL MC ZAG,21,68,Spain,/259/521/23_60.png
Girona FC,I. Kébé,MC MD VOL,21,67,Mali,/259/068/23_60.png
Girona FC,Ureña,MD ME,19,67,Spain,/264/230/23_60.png
Girona FC,Toni Fuidias,GOL,21,64,Spain,/264/326/23_60.png
Girona FC,Ricard Artero,MEI MD,19,63,Spain,/264/735/23_60.png
Girona FC,Biel Farrés,ZAG,20,62,Spain,/265/730/23_60.png
Girona FC,Iker Piedra,GOL,20,62,Spain,/262/309/23_60.png
Girona FC,Joel Roca,ME MEI MD,17,61,Spain,/272/718/23_60.png
Girona FC,Lluc Matas,GOL,20,61,Spain,/271/442/23_60.png
Leganés,A. Nyom,LD MD ZAG,34,73,Cameroon,/192/667/23_60.png
Leganés,Dani Raba,MD ATA,26,71,Spain,/241/463/23_60.png
Leganés,Rubén Pardo,MC VOL MEI,29,70,Spain,/204/523/23_60.png
Leganés,Jorge Miramón,LD LD MD,33,70,Spain,/229/359/23_60.png
Leganés,K. Omeruo,ZAG,28,70,Nigeria,/207/624/23_60.png
Leganés,Y. Neyou,VOL MC,25,70,Cameroon,/237/626/23_60.png
Leganés,R. Durmisi,LE,28,69,Denmark,/211/385/23_60.png
Leganés,Josema,ZAG LE LE,26,68,Spain,/236/304/23_60.png
Leganés,Undabarrena,MC VOL,27,68,Spain,/229/361/23_60.png
Leganés,Sergio,ZAG,30,68,Spain,/221/652/23_60.png
Leganés,G. Shibasaki,VOL MC,30,68,Japan,/232/883/23_60.png
Leganés,Juan Muñoz,ATA MEI MC,26,67,Spain,/224/045/23_60.png
Leganés,Fede Vico,MEI MD MC,27,67,Spain,/204/346/23_60.png
Leganés,José Arnáiz,ME ATA MD,27,66,Spain,/231/530/23_60.png
Leganés,Dani Jiménez,GOL,32,66,Spain,/194/934/23_60.png
Leganés,Y. Qasmi,ATA,31,66,Morocco,/201/924/23_60.png
Leganés,Avilés,MD ME PD,24,66,Spain,/246/275/23_60.png
Leganés,S. Cisse,MC VOL MD,21,66,Guinea,/267/624/23_60.png
Leganés,Riesgo,GOL,38,66,Spain,/110/974/23_60.png
Leganés,P. Parzyszek,ATA,28,65,Poland,/201/978/23_60.png
Leganés,Belman,GOL,23,64,Spain,/254/008/23_60.png
Leganés,David Alba,ZAG,23,64,Spain,/243/430/23_60.png
Leganés,Naim García,MD ME,20,63,Spain,/264/228/23_60.png
Leganés,Javi Rubio,LD MD,23,63,Spain,/244/920/23_60.png
Leganés,Manu Garrido,ATA,21,62,Spain,/257/333/23_60.png
Leganés,M. Vesprini,ZAG,22,61,Argentina,/264/274/23_60.png
Leganés,J. Perea,ME MD,20,61,Colombia,/271/194/23_60.png
Leganés,Javi Garrido,GOL,18,59,Spain,/271/490/23_60.png
La Coruna,G. Zarfino,VOL MC ATA,29,68,Uruguay,/243/989/22_60.png
La Coruna,Hugo Fraile,MD MC,34,68,Spain,/190/021/22_60.png
La Coruna,Olabe,MC VOL MD,25,67,Spain,/238/225/22_60.png
La Coruna,V. García,LD,27,67,Venezuela,/217/085/22_60.png
La Coruna,Luis Valcarce,LE ME,28,67,Spain,/211/056/22_60.png
La Coruna,Borja Valle,ATA ME MEI,28,66,Spain,/229/037/22_60.png
La Coruna,Mula,ME MD,24,66,Spain,/220/395/22_60.png
La Coruna,Cristian Rivero,GOL,23,66,Spain,/241/179/22_60.png
La Coruna,Xisco,ATA,35,66,Spain,/164/471/22_60.png
La Coruna,Javi Castro,ZAG,20,66,Spain,/255/406/22_60.png
La Coruna,E. Apeh,ATA,24,65,Nigeria,/240/846/22_60.png
La Coruna,Iván Calero,LD MD LE,26,65,Spain,/224/305/22_60.png
La Coruna,David Fernández,ZAG,36,65,Spain,/172/317/22_60.png
La Coruna,Bellvís,LE LE ME,36,64,Spain,/177/564/22_60.png
La Coruna,N. Gorosito,ZAG,32,64,Argentina,/234/816/22_60.png
La Coruna,José Ángel,MC VOL,29,64,Spain,/203/733/22_60.png
La Coruna,Arribas,ME MD ATA,22,64,Spain,/236/868/22_60.png
La Coruna,Juanma Bravo,MC MEI VOL,23,64,Spain,/258/557/22_60.png
La Coruna,Laure,LD LD MD,36,64,Spain,/188/930/22_60.png
La Coruna,Carlos Hernández,ZAG,30,63,Spain,/211/556/22_60.png
La Coruna,Gorostidi,MC VOL,25,63,Spain,/258/280/22_60.png
La Coruna,J. Valencia,ATA MEI ME,26,63,Ecuador,/203/249/22_60.png
La Coruna,Forniés,LE ZAG,30,63,Spain,/201/364/22_60.png
La Coruna,José Carlos,ZAG LE,25,63,Spain,/222/466/22_60.png
La Coruna,Óscar Rivas,ZAG,21,63,Spain,/266/660/22_60.png
La Coruna,Moyano,MC VOL,20,62,Spain,/264/231/22_60.png
La Coruna,Jesús Ruiz,GOL,24,62,Spain,/257/027/22_60.png
La Coruna,Zárraga,GOL,23,61,Spain,/250/885/22_60.png
La Coruna,Juanpe,GOL,20,60,Spain,/267/577/22_60.png
La Coruna,Cornago,LD LD,18,60,Spain,/263/223/22_60.png
La Coruna,Isra García,MEI MC,17,58,Spain,/267/963/22_60.png
Málaga,Rubén Castro,ATA,41,71,Spain,/115/909/23_60.png
Málaga,Fran Villalba,MEI ME MD,24,70,Spain,/229/991/23_60.png
Málaga,A. N'Diaye,VOL MC,32,70,Senegal,/188/879/23_60.png
Málaga,Aleix Febas,MC MEI VOL,26,69,Spain,/235/522/23_60.png
Málaga,Manolo Reina,GOL,37,69,Spain,/173/178/23_60.png
Málaga,Álex Gallar,MD ATA MEI,30,69,Spain,/211/527/23_60.png
Málaga,Ramalho,ZAG LD,29,69,Angola,/189/576/23_60.png
Málaga,Fran Sol,ATA,30,68,Spain,/210/441/23_60.png
Málaga,Adrián López,ATA ME MD,34,68,Spain,/173/818/23_60.png
Málaga,L. Agbenyenu,LE ME,25,68,Ghana,/237/456/23_60.png
Málaga,Bustinza,ZAG LD,30,68,Spain,/224/869/23_60.png
Málaga,Hervías,MD LD,29,68,Spain,/204/526/23_60.png
Málaga,Juanfran,LD LD,33,67,Spain,/188/135/23_60.png
Málaga,Luis Muñoz,MC VOL ZAG,25,67,Spain,/236/695/23_60.png
Málaga,Kevin,ME MD PD,21,67,Spain,/264/176/23_60.png
Málaga,Juande,ZAG,22,66,Spain,/255/158/23_60.png
Málaga,Rubén Yáñez,GOL,28,66,Spain,/219/836/23_60.png
Málaga,Javi Jiménez,LE LE,26,66,Spain,/228/600/23_60.png
Málaga,Jozabed,MC VOL MEI,31,66,Spain,/210/214/23_60.png
Málaga,Genaro,VOL MC ZAG,24,66,Spain,/240/873/23_60.png
Málaga,Ramón Enríquez,MC VOL,21,66,Spain,/252/943/23_60.png
Málaga,P. Chavarría,ATA MD,34,66,Argentina,/199/387/23_60.png
Málaga,E. Burgos,ZAG,30,66,Argentina,/224/524/23_60.png
Málaga,Escassi,ZAG VOL MC,33,66,Spain,/193/909/23_60.png
Málaga,H. Abaida El Achhab,ME MD MEI,20,65,Morocco,/260/344/23_60.png
Málaga,Andrés Caro,ZAG,18,64,Spain,/262/407/23_60.png
Málaga,Dani Lorenzo,MC MEI,19,64,Spain,/265/812/23_60.png
Málaga,I. Fomba,MD ME,21,63,Mali,/258/773/23_60.png
Málaga,M. Diarra,ZAG,19,63,Mali,/263/677/23_60.png
Málaga,Loren Zúñiga,ATA,19,62,Spain,/260/691/23_60.png
Málaga,Carlos López,GOL,17,58,Spain,/271/491/23_60.png
Rayo Vallecano,Raúl de Tomás,ATA,27,83,Spain,/210/315/23_60.png
Rayo Vallecano,Isi Palazón,MD,27,79,Spain,/232/498/23_60.png
Rayo Vallecano,Ó. Trejo,MEI,34,79,Argentina,/173/030/23_60.png
Rayo Vallecano,Diego López,GOL,40,79,Spain,/146/748/23_60.png
Rayo Vallecano,S. Dimitrievski,GOL,28,79,North Macedonia,/211/348/23_60.png
Rayo Vallecano,Álvaro García,ME,29,77,Spain,/216/447/23_60.png
Rayo Vallecano,Catena,ZAG,27,76,Spain,/243/976/23_60.png
Rayo Vallecano,Falcao,ATA,36,76,Colombia,/167/397/23_60.png
Rayo Vallecano,Unai López,MC VOL MEI,26,75,Spain,/222/390/23_60.png
Rayo Vallecano,Santi Comesaña,VOL MC MEI,25,75,Spain,/235/781/23_60.png
Rayo Vallecano,I. Balliu,LD,30,75,Albania,/203/581/23_60.png
Rayo Vallecano,Fran García,LE ME,22,75,Spain,/246/606/23_60.png
Rayo Vallecano,Salvi Sánchez,MD ME,31,74,Spain,/234/772/23_60.png
Rayo Vallecano,Óscar Valentín,VOL MC,27,74,Spain,/243/558/23_60.png
Rayo Vallecano,Bebé,MD ME ATA,31,74,Cape Verde,/166/074/23_60.png
Rayo Vallecano,P. Ciss,VOL MC,28,73,Senegal,/250/858/23_60.png
Rayo Vallecano,José Pozo,MEI MC ME,26,73,Spain,/218/746/23_60.png
Rayo Vallecano,R. Nteka,ATA MEI MC,24,72,France,/251/756/23_60.png
Rayo Vallecano,Mario Suárez,VOL MC ZAG,35,72,Spain,/171/018/23_60.png
Rayo Vallecano,Pep Chavarría,LE,24,71,Spain,/258/371/23_60.png
Rayo Vallecano,E. Saveljich,ZAG,31,71,Montenegro,/211/270/23_60.png
Rayo Vallecano,Mario Hernández,LD ZAG,23,70,Spain,/241/479/23_60.png
Rayo Vallecano,Andrés Martín,ATA MD MEI,22,70,Spain,/246/044/23_60.png
Rayo Vallecano,A. Mumin,ZAG,24,70,Ghana,/235/662/23_60.png
Rayo Vallecano,Miguel Morro,GOL,21,65,Spain,/245/632/23_60.png
Rayo Vallecano,Rubén de Tomás,ME MD MEI,21,62,Spain,/260/828/23_60.png
Rayo Vallecano,Vere,ME MD LE,21,61,Spain,/268/120/23_60.png
Rayo Vallecano,Diego Méndez,ZAG MC LD,18,60,Spain,/272/486/23_60.png
Rayo Vallecano,Pablo Muñoz,MEI,18,60,Spain,/272/356/23_60.png
Real Oviedo,Montoro,MC VOL MEI,34,75,Spain,/186/682/23_60.png
Real Oviedo,Borja Bastón,ATA,29,73,Spain,/194/996/23_60.png
Real Oviedo,Borja Sánchez,ME,26,72,Spain,/241/117/23_60.png
Real Oviedo,Sergi Enrich,ATA,32,72,Spain,/194/879/23_60.png
Real Oviedo,David Costas,ZAG,27,72,Spain,/219/848/23_60.png
Real Oviedo,Dani Calvo,ZAG,28,71,Spain,/219/180/23_60.png
Real Oviedo,Pomares,LE ME,29,70,Spain,/233/591/23_60.png
Real Oviedo,Luismi,VOL MC,30,69,Spain,/220/638/23_60.png
Real Oviedo,Rodri Tarín,ZAG LD,25,68,Spain,/228/828/23_60.png
Real Oviedo,Marco Sangalli,MD,30,67,Spain,/216/376/23_60.png
Real Oviedo,Tomeu Nadal,GOL,33,67,Spain,/190/435/23_60.png
Real Oviedo,Viti Rozada,MD ME,24,66,Spain,/234/350/23_60.png
Real Oviedo,Abel Bretones,ME LE,21,66,Spain,/271/145/23_60.png
Real Oviedo,Lucas Ahijado,LD LE,27,66,Spain,/229/894/23_60.png
Real Oviedo,D. Aceves,LE,21,66,Mexico,/259/573/23_60.png
Real Oviedo,Q. Braat,GOL,24,66,France,/231/720/23_60.png
Real Oviedo,S. Obeng,ATA ME,25,66,Ghana,/252/485/23_60.png
Real Oviedo,Javi Mier,MC ATA MEI,23,66,Spain,/246/617/23_60.png
Real Oviedo,Jimmy,MC VOL,25,66,Spain,/244/210/23_60.png
Real Oviedo,Hugo Rama,MC ME MEI,25,66,Spain,/231/025/23_60.png
Real Oviedo,Oier Luengo,ZAG,24,65,Spain,/263/178/23_60.png
Real Oviedo,Berto Hórreo,GOL,22,63,Spain,/252/112/23_60.png
Real Oviedo,Álex Cardero,MC MEI,18,63,Spain,/261/993/23_60.png
Real Oviedo,Lucas Laso,ZAG,19,62,Spain,/266/085/23_60.png
Real Oviedo,Mario Sesé,MD LD,19,62,Spain,/272/502/23_60.png
Real Oviedo,Yayo,MC,17,62,Spain,/264/179/23_60.png
Real Oviedo,Mángel,VOL MC,21,62,Spain,/266/137/23_60.png
Sporting de Gijón,C. Izquierdoz,ZAG,33,76,Argentina,/214/766/23_60.png
Sporting de Gijón,Cote,LE,32,75,Spain,/190/143/23_60.png
Sporting de Gijón,J. Otero,MD MEI ME,27,72,Colombia,/224/428/23_60.png
Sporting de Gijón,Jony,ME,30,72,Spain,/222/943/23_60.png
Sporting de Gijón,Diego Mariño,GOL,32,70,Spain,/199/493/23_60.png
Sporting de Gijón,U. Đurđević,ATA,28,70,Montenegro,/221/430/23_60.png
Sporting de Gijón,Pedro Díaz,MC VOL,24,70,Spain,/236/492/23_60.png
Sporting de Gijón,Aitor García,MD ME PD,28,69,Spain,/207/960/23_60.png
Sporting de Gijón,Iván Cuéllar,GOL,38,69,Spain,/146/952/23_60.png
Sporting de Gijón,Insua,ZAG,28,68,Spain,/207/431/23_60.png
Sporting de Gijón,Cristo González,ATA MEI,24,68,Spain,/225/105/23_60.png
Sporting de Gijón,José Gragera,VOL MC ZAG,22,68,Spain,/250/997/23_60.png
Sporting de Gijón,Bruno,ZAG,32,67,Spain,/200/228/23_60.png
Sporting de Gijón,Campuzano,ATA MEI,25,67,Spain,/246/949/23_60.png
Sporting de Gijón,A. Bamba,ZAG LD,22,66,Ivory Coast,/241/858/23_60.png
Sporting de Gijón,Christian Rivera,VOL MC,24,66,Spain,/229/038/23_60.png
Sporting de Gijón,G. Zarfino,VOL MEI ATA,30,66,Uruguay,/243/989/23_60.png
Sporting de Gijón,Guille Rosas,LD,22,65,Spain,/256/080/23_60.png
Sporting de Gijón,Nacho Méndez,MC VOL MD,24,65,Spain,/240/201/23_60.png
Sporting de Gijón,U. Milovanović,ATA,21,64,Serbia,/271/684/23_60.png
Sporting de Gijón,Daniel Queipo,ME,20,64,Spain,/265/560/23_60.png
Sporting de Gijón,Pol Valentín,LD LE MD,25,64,Spain,/236/390/23_60.png
Sporting de Gijón,J. Carrillo,ME MD,20,64,Mexico,/257/489/23_60.png
Sporting de Gijón,Diego Sánchez,LE,18,63,Spain,/271/805/23_60.png
Sporting de Gijón,Pelayo Morilla,MD ME,20,63,Spain,/245/616/23_60.png
Sporting de Gijón,J. Varane,VOL MC,20,63,France,/262/072/23_60.png
Sporting de Gijón,Marcos Trabanco,MD LD,21,62,Spain,/259/527/23_60.png
Sporting de Gijón,Álvaro Santamaría,ATA,20,62,Spain,/265/538/23_60.png
Sporting de Gijón,Jordi Pola,ZAG,22,62,Spain,/265/773/23_60.png
Sporting de Gijón,F. Bloch,GOL,22,59,France,/252/227/23_60.png
Tenerife,Juan Soriano,GOL,24,71,Spain,/234/790/23_60.png
Tenerife,Nacho,LE,33,71,Spain,/212/183/23_60.png
Tenerife,Aitor Sanz,MC VOL,37,71,Spain,/142/499/23_60.png
Tenerife,Enric Gallego,ATA,35,71,Spain,/243/993/23_60.png
Tenerife,M. Dauda,ME MD ATA,24,70,Ghana,/242/284/23_60.png
Tenerife,J. Mellot,LD LE,28,70,France,/248/777/23_60.png
Tenerife,Elady,ATA ME MD,31,70,Spain,/244/667/23_60.png
Tenerife,S. Shashoua,ATA MEI MD,23,69,England,/236/599/23_60.png
Tenerife,Àlex Corredera,MC MEI MD,26,69,Spain,/229/207/23_60.png
Tenerife,José León,ZAG,27,68,Spain,/223/120/23_60.png
Tenerife,Aitor Buñuel,LD ZAG,24,68,Spain,/228/790/23_60.png
Tenerife,Waldo,ME MD,26,68,Spain,/231/414/23_60.png
Tenerife,Sergio González,ZAG VOL,25,68,Spain,/246/097/23_60.png
Tenerife,Pablo Larrea,VOL MC,28,67,Spain,/235/971/23_60.png
Tenerife,N. Šipčić,ZAG,27,67,Montenegro,/252/275/23_60.png
Tenerife,Carlos Ruiz,ZAG,38,67,Spain,/198/560/23_60.png
Tenerife,Javi Alonso,VOL,23,67,Spain,/239/986/23_60.png
Tenerife,Andoni López,LE LE,26,66,Spain,/234/359/23_60.png
Tenerife,José Ángel,MC VOL,30,66,Spain,/203/733/23_60.png
Tenerife,Javi Díaz,GOL,25,65,Spain,/236/028/23_60.png
Tenerife,Teto,MD MC MEI,20,62,Spain,/271/275/23_60.png
Tenerife,David Rodríguez,LD ZAG,22,62,Spain,/259/600/23_60.png
Tenerife,Ibra Pérez,MC,20,62,Spain,/258/454/23_60.png
Tenerife,Alassan,ME MD,19,62,Spain,/272/469/23_60.png
Tenerife,Victor Méndez,GOL,22,62,Spain,/257/998/23_60.png
Tenerife,Dylan Perera,MEI MC,19,61,Spain,/259/739/23_60.png
Tenerife,Matías Cedrés,LD MD,22,60,Spain,/271/274/23_60.png
Real Zaragoza,C. Álvarez,GOL,36,73,Argentina,/188/938/23_60.png
Real Zaragoza,Francés,ZAG,19,73,Spain,/254/310/23_60.png
Real Zaragoza,Jair Amador,ZAG,32,72,Portugal,/234/731/23_60.png
Real Zaragoza,G. Fuentes,LE,25,71,Colombia,/244/308/23_60.png
Real Zaragoza,Fran Gámez,LD,30,71,Spain,/243/756/23_60.png
Real Zaragoza,Jaume Grau,VOL MC,25,70,Spain,/246/918/23_60.png
Real Zaragoza,Bermejo,MD MEI,24,70,Spain,/252/864/23_60.png
Real Zaragoza,Eugeni,MC VOL ME,27,70,Spain,/209/695/23_60.png
Real Zaragoza,Lluís López,ZAG,25,69,Spain,/234/032/23_60.png
Real Zaragoza,Iván Azón,ATA,19,69,Spain,/259/423/23_60.png
Real Zaragoza,M. Gueye,ATA,24,69,Senegal,/245/652/23_60.png
Real Zaragoza,Vigaray,LD,27,68,Spain,/221/923/23_60.png
Real Zaragoza,R. Petrović,VOL ZAG,33,68,Serbia,/195/087/23_60.png
Real Zaragoza,Manu Molina,VOL MC MEI,30,67,Spain,/201/295/23_60.png
Real Zaragoza,Francho Serrano,MC VOL MD,20,67,Spain,/256/341/23_60.png
Real Zaragoza,V. Vada,MEI ME,26,67,Argentina,/220/609/23_60.png
Real Zaragoza,Larrazabal,LD MD,24,67,Spain,/251/025/23_60.png
Real Zaragoza,J. Quinteros,ZAG,21,67,Bolivia,/255/908/23_60.png
Real Zaragoza,Lasure,LE,28,67,Spain,/236/405/23_60.png
Real Zaragoza,Zapater,MC,37,66,Spain,/162/047/23_60.png
Real Zaragoza,Carlos Nieto,LE,26,66,Spain,/225/202/23_60.png
Real Zaragoza,Ratón,GOL,29,66,Spain,/234/994/23_60.png
Real Zaragoza,Miguel Puche,ME MD,21,66,Spain,/263/837/23_60.png
Real Zaragoza,J. Igbekeme,MC ME,26,66,Nigeria,/243/862/23_60.png
Real Zaragoza,Daniel Rebollo,GOL,22,65,Spain,/243/397/23_60.png
Real Zaragoza,Marc Aguado,VOL MC,22,63,Spain,/246/809/23_60.png
Real Zaragoza,Marcos Luna,LD,19,63,Spain,/270/415/23_60.png
Real Zaragoza,Guillem Naranjo,ATA,22,62,Spain,/272/443/23_60.png
Real Zaragoza,Vaquero,MC,18,60,Spain,/267/606/23_60.png
Real Zaragoza,Miguel Operé,ZAG,21,60,Spain,/271/884/23_60.png
Juventus,W. Szczęsny,GOL,32,86,Poland,/186/153/23_60.png
Juventus,F. Kostić,ME PE LE,29,85,Serbia,/208/574/23_60.png
Juventus,P. Pogba,MC VOL ME,29,85,France,/195/864/23_60.png
Juventus,Á. Di María,PD,34,84,Argentina,/183/898/23_60.png
Juventus,F. Chiesa,PE,24,84,Italy,/235/805/23_60.png
Juventus,D. Vlahović,ATA,22,84,Serbia,/246/430/23_60.png
Juventus,L. Bonucci,ZAG,35,83,Italy,/184/344/23_60.png
Juventus,Bremer,ZAG,25,83,Brazil,/239/580/23_60.png
Juventus,J. Cuadrado,LD MD PD,34,82,Colombia,/193/082/23_60.png
Juventus,M. Locatelli,VOL MC,24,82,Italy,/222/077/23_60.png
Juventus,Danilo,LD ZAG,30,81,Brazil,/199/304/23_60.png
Juventus,A. Rabiot,MC ME,27,81,France,/210/008/23_60.png
Juventus,Alex Sandro,LE,31,80,Brazil,/191/043/23_60.png
Juventus,A. Milik,ATA,28,80,Poland,/205/175/23_60.png
Juventus,L. Paredes,MC VOL,28,80,Argentina,/207/439/23_60.png
Juventus,M. Perin,GOL,29,79,Italy,/198/009/23_60.png
Juventus,W. McKennie,MC ME MD,23,79,United States,/238/744/23_60.png
Juventus,N. Rovella,MC VOL,20,77,Italy,/255/001/23_60.png
Juventus,L. Pellegrini,LE LE,23,76,Italy,/243/237/23_60.png
Juventus,D. Rugani,ZAG,27,76,Italy,/211/320/23_60.png
Juventus,M. De Sciglio,LD LE,29,76,Italy,/206/058/23_60.png
Juventus,F. Gatti,ZAG,24,75,Italy,/266/872/23_60.png
Juventus,M. Pjaca,ATA ATA MEI,27,74,Croatia,/229/593/23_60.png
Juventus,N. Fagioli,VOL MC MEI,21,73,Italy,/260/823/23_60.png
Juventus,A. Cambiaso,LE ME LD,22,73,Italy,/258/966/23_60.png
Juventus,C. Pinsoglio,GOL,32,73,Italy,/189/342/23_60.png
Juventus,F. Miretti,MC MEI VOL,18,73,Italy,/268/802/23_60.png
Juventus,L. Zanimacchia,MD,23,72,Italy,/235/935/23_60.png
Juventus,M. Ihattaren,MEI PD,20,72,Netherlands,/246/960/23_60.png
